"","block","qt"
"1",1,-0.0833333333333333
"2",2,-0.0234848484848485
"3",3,0.0446969696969697
"4",4,-0.0106060606060606
"5",5,0.00984848484848485
"6",6,0.0613636363636364
"7",7,0.0416666666666667
"8",8,0.0416666666666667
"9",9,-0.0303030303030303
"10",10,-0.046969696969697
"11",11,-0.13030303030303
"12",12,-0.0643939393939394
"13",13,-0.0840909090909091
"14",14,-0.0840909090909091
"15",15,-0.0689393939393939
"16",16,-0.00909090909090909
"17",17,0.0681818181818182
"18",18,0.13030303030303
"19",19,0.181818181818182
"20",20,0.16969696969697
"21",21,0.187878787878788
"22",22,0.239393939393939
"23",23,0.293181818181818
"24",24,0.365151515151515
"25",25,0.337121212121212
"26",26,0.279545454545455
"27",27,0.267424242424242
"28",28,0.208333333333333
"29",29,0.203030303030303
"30",30,0.124242424242424
"31",31,0.129545454545455
"32",32,0.0931818181818182
"33",33,0.121969696969697
"34",34,0.165909090909091
"35",35,0.183333333333333
"36",36,0.278030303030303
"37",37,0.232575757575758
"38",38,0.231060606060606
"39",39,0.264393939393939
"40",40,0.267424242424242
"41",41,0.228787878787879
"42",42,0.225757575757576
"43",43,0.175
"44",44,0.165151515151515
"45",45,0.225
"46",46,0.268939393939394
"47",47,0.226515151515152
"48",48,0.208333333333333
"49",49,0.187121212121212
"50",50,0.137121212121212
"51",51,0.183333333333333
"52",52,0.153030303030303
"53",53,0.161363636363636
"54",54,0.198484848484848
"55",55,0.209090909090909
"56",56,0.217424242424242
"57",57,0.259090909090909
"58",58,0.313636363636364
"59",59,0.343181818181818
"60",60,0.320454545454545
"61",61,0.282575757575758
"62",62,0.21969696969697
"63",63,0.243939393939394
"64",64,0.214393939393939
"65",65,0.163636363636364
"66",66,0.0765151515151515
"67",67,0.05
"68",68,0.0325757575757576
"69",69,0.0598484848484849
"70",70,0.0598484848484849
"71",71,-0.0871212121212121
"72",72,-0.109848484848485
"73",73,-0.114393939393939
"74",74,-0.162121212121212
"75",75,-0.175
"76",76,-0.128787878787879
"77",77,-0.193181818181818
"78",78,-0.221969696969697
"79",79,-0.0568181818181818
"80",80,0.00378787878787879
"81",81,0.0553030303030303
"82",82,0.176515151515152
"83",83,0.197727272727273
"84",84,0.20530303030303
"85",85,0.257575757575758
"86",86,0.292424242424242
"87",87,0.221969696969697
"88",88,0.161363636363636
"89",89,0.202272727272727
"90",90,0.141666666666667
"91",91,0.137121212121212
"92",92,0.115151515151515
"93",93,0.109090909090909
"94",94,0.16969696969697
"95",95,0.202272727272727
"96",96,0.238636363636364
"97",97,0.215151515151515
"98",98,0.246212121212121
"99",99,0.211363636363636
"100",100,0.25
"101",101,0.204545454545455
"102",102,0.121212121212121
"103",103,0.0484848484848485
"104",104,0.0189393939393939
"105",105,-0.0212121212121212
"106",106,-0.0628787878787879
"107",107,-0.0553030303030303
"108",108,-0.0515151515151515
"109",109,0.0121212121212121
"110",110,0.0121212121212121
"111",111,0.0181818181818182
"112",112,0.0143939393939394
"113",113,0.0568181818181818
"114",114,0.125
"115",115,0.14469696969697
"116",116,0.0848484848484849
"117",117,0.0575757575757576
"118",118,0.129545454545455
"119",119,0.157575757575758
"120",120,0.178787878787879
"121",121,0.127272727272727
"122",122,0.0893939393939394
"123",123,0.0439393939393939
"124",124,0.0825757575757576
"125",125,0.0840909090909091
"126",126,0.0727272727272727
"127",127,0.0689393939393939
"128",128,0.0856060606060606
"129",129,0.0734848484848485
"130",130,0.120454545454545
"131",131,0.176515151515152
"132",132,0.175757575757576
"133",133,0.184848484848485
"134",134,0.16969696969697
"135",135,0.176515151515152
"136",136,0.108333333333333
"137",137,0.131060606060606
"138",138,0.0931818181818182
"139",139,0.075
"140",140,0.0909090909090909
"141",141,0.075
"142",142,0.0878787878787879
"143",143,0.0613636363636364
"144",144,0.0825757575757576
"145",145,0.0492424242424242
"146",146,0.0234848484848485
"147",147,0.0462121212121212
"148",148,-0.00757575757575757
"149",149,-0.0265151515151515
"150",150,-0.0878787878787879
"151",151,-0.021969696969697
"152",152,0.0143939393939394
"153",153,0.0386363636363636
"154",154,0.0507575757575758
"155",155,0.0757575757575758
"156",156,0.0984848484848485
"157",157,0.109090909090909
"158",158,0.124242424242424
"159",159,0.0962121212121212
"160",160,0.123484848484848
"161",161,0.161363636363636
"162",162,0.185606060606061
"163",163,0.151515151515152
"164",164,0.152272727272727
"165",165,0.157575757575758
"166",166,0.177272727272727
"167",167,0.187878787878788
"168",168,0.185606060606061
"169",169,0.15530303030303
"170",170,0.178030303030303
"171",171,0.156818181818182
"172",172,0.166666666666667
"173",173,0.184090909090909
"174",174,0.175
"175",175,0.106060606060606
"176",176,0.0871212121212121
"177",177,0.0537878787878788
"178",178,0.00984848484848485
"179",179,-0.00151515151515151
"180",180,-0.0666666666666667
"181",181,-0.0151515151515152
"182",182,0.025
"183",183,0.0909090909090909
"184",184,NA
