date,america,europe,asia,oceania,commodities,bonds,all_indices,mstl_continents
Apr-05,3.796285367,2.792780892,4.037846832,0.619132512,2.289557412,0.9836688,15.41895835,12.02726853
May-05,4.179600393,3.971352277,5.62284325,0.895187734,2.52965303,0.960604115,19.20531014,16.9916832
Jun-05,4.289146144,3.537260665,5.658175509,0.842605138,2.324692637,0.968887268,18.73306178,16.63918994
Jul-05,4.911572915,3.013436938,5.643438148,0.7352619,2.987892872,0.773222328,18.56782874,16.51855392
Aug-05,4.50048693,3.32904947,5.6197313,0.771723855,2.596531994,0.696199178,18.73272473,16.51426548
Sep-05,5.091088651,3.694496469,5.821069398,1.076805722,2.464098574,0.711187323,19.46625545,17.19856939
Oct-05,3.270591099,2.370815656,4.312559514,0.513794858,2.233568305,0.954428378,15.58085006,12.44129554
Nov-05,4.589182915,4.030318244,5.817766959,0.802462571,2.930548037,0.781097832,19.66904279,17.58379563
Dec-05,4.514610356,3.429233314,6.022490859,0.828890011,2.590573239,0.573632608,19.28502443,15.40361784
Jan-06,3.639586219,3.188157696,4.468174202,0.617780957,2.362650401,0.661165154,16.18827925,13.95692481
Feb-06,4.461478971,2.942168472,5.568416577,1.005512143,2.07923361,0.878763291,17.77664457,14.9901332
Mar-06,4.132849944,3.355342837,5.503362416,0.94270326,2.293616795,0.713374781,18.1941133,14.8266223
Apr-06,4.153635204,3.389880684,5.439136472,1.013908957,2.148940381,0.731538711,17.4260586,15.14339385
May-06,3.262096477,1.871356422,4.232693525,0.771614888,2.062640099,1.080007844,14.08122987,11.18068023
Jun-06,2.912907932,1.931068638,3.470698951,0.804559646,1.807506124,0.573678602,12.37361856,9.549693018
Jul-06,2.846548941,1.898347571,3.745076707,0.66955336,2.029348999,0.628349134,13.08940111,9.914743303
Aug-06,4.514321716,2.892243064,5.434313152,0.879876984,2.078364392,0.443308973,17.07577846,15.25377429
Sep-06,3.446729316,2.724194136,4.60785656,0.676466593,2.129833328,1.085691152,15.71124491,13.20159312
Oct-06,4.119654667,3.324725522,5.141378271,0.893439536,2.15760934,0.485590962,17.02051319,14.75790565
Nov-06,4.085319679,2.905650927,4.656617674,0.774040029,2.425571198,0.711328816,17.00730181,14.3858604
Dec-06,4.038544399,3.455021943,5.033593327,0.942627224,2.439601951,0.818878232,17.50166858,14.34850821
Jan-07,4.069501841,3.347414797,4.761559822,0.828903795,1.974345559,0.810337137,16.85774264,14.51358455
Feb-07,2.516321965,1.966265221,4.093545124,0.711252263,2.231313288,1.032815297,13.26199052,10.4179941
Mar-07,2.658735388,2.155890821,2.98845526,0.733665448,2.388818208,1.309463196,12.51891127,8.742156019
Apr-07,3.608275055,3.061667809,3.955256067,0.888779544,2.43475246,0.8233962,16.06565168,13.17569388
May-07,3.743055399,3.92248451,4.757791582,0.768730039,2.301210282,0.891700214,17.52242292,13.92855857
Jun-07,2.98396617,2.699350424,4.551736352,0.642318069,1.944630326,0.794732272,15.07011064,12.45557939
Jul-07,3.043175718,2.150204849,3.213856878,0.579763217,2.452173626,1.259421464,13.58609142,10.59658015
Aug-07,2.34242906,1.851392093,2.787179442,0.52654223,1.869256274,1.473851883,11.97430451,9.03071027
Sep-07,3.15635191,2.080514141,4.440533124,0.728462845,2.36994498,1.423435026,14.94765164,11.63279873
Oct-07,3.423714213,3.530227144,4.094249165,1.037818598,1.95534831,1.275369949,15.71243932,12.90808644
Nov-07,3.047136662,2.808560644,3.912091568,0.756480336,2.069469485,1.480806183,14.64824624,11.64547673
Dec-07,2.791248159,2.47291712,4.330421527,0.675648018,2.338442176,0.928798095,14.76528469,10.91522957
Jan-08,3.15496054,2.037248723,3.758950093,0.537956357,1.867944444,1.290385513,13.95376147,10.84539738
Feb-08,3.192974113,1.94325571,4.119695542,0.890527025,1.980528726,1.133822485,14.3867645,11.20349325
Mar-08,3.182426022,1.921817814,3.850277007,0.788841456,1.875766472,1.315208926,13.63520245,10.91563377
Apr-08,4.151923452,2.736118481,4.676061732,0.629505848,2.127258042,1.017681924,16.27473221,13.64969103
May-08,4.294986029,3.440486664,5.177514102,0.818485264,1.825412849,1.109072368,17.60939688,15.60923968
Jun-08,3.845493907,3.294860362,4.677371656,0.739123901,1.949120159,0.986094234,16.04270229,14.29072893
Jul-08,4.007887241,2.574889384,4.134885957,0.597436076,2.275701658,1.317675093,16.33580572,13.23059644
Aug-08,3.915368247,2.717422201,4.806059852,0.673006442,1.706208239,1.13666856,15.70576448,13.23023098
Sep-08,2.127635119,1.609988201,3.830512823,0.56523374,2.057203065,1.259476647,12.28368025,8.505083662
Oct-08,2.717464316,2.3635159,3.521364385,0.502388798,1.765386776,1.354292338,13.01672054,10.00288065
Nov-08,2.765937569,1.981206456,3.677409845,0.510438558,1.833200026,1.111087039,12.93401859,10.32342712
Dec-08,3.221320064,2.077929613,4.449378753,0.871522711,1.87290582,1.011051068,14.85689631,12.10956229
Jan-09,2.4298181,2.662848287,4.286452405,0.568236698,2.171554763,1.2531264,14.84121494,11.4393801
Feb-09,3.106669207,2.580366931,4.573599462,0.741918423,2.611517264,1.090679253,15.4836581,12.40579278
Mar-09,2.305131843,2.390079037,4.1028633,0.780327387,2.141707177,1.006129769,13.49723353,10.60885854
Apr-09,3.154883208,2.316980545,4.310147869,0.661661283,2.340681664,1.185813686,14.8719262,11.30430567
May-09,2.992790167,3.47655489,4.334125094,0.533283682,2.033773566,1.062523013,15.76575693,13.10897034
Jun-09,2.401773345,2.366623948,3.944751323,0.671673798,1.475869317,1.06868921,13.15725802,10.66440851
Jul-09,2.803292768,2.397419367,4.638331737,0.749408149,1.829354549,1.213572488,14.71008237,12.42862796
Aug-09,2.900741869,2.30476939,4.09676062,0.694799087,2.046718563,1.135539404,14.06768282,11.71458875
Sep-09,3.364729997,2.62413736,4.468613059,0.806993253,1.949431647,1.049583078,15.64123357,12.95886949
Oct-09,2.436470047,2.114965653,4.576901022,0.826966665,1.867996621,1.291058727,13.72355515,11.13707147
Nov-09,3.355277033,1.731794338,4.116118243,0.502554174,1.843240782,0.775100156,13.52488707,11.31138589
Dec-09,3.94551713,2.31815891,5.325699984,0.821485072,2.087805564,0.773618393,16.10128838,14.40512805
Jan-10,3.5583713,2.775309652,4.057899894,0.685957105,1.741830775,0.946052692,14.83243822,12.28200074
Feb-10,2.643418927,2.474228795,3.958975158,0.756488726,1.889914423,1.098448449,13.41528522,10.31208159
Mar-10,3.898756146,2.980450661,4.835830441,1.136704649,2.198349075,0.78975082,16.41101949,14.65556167
Apr-10,3.13886633,2.184183842,4.159509802,0.580046073,2.252888806,0.763372055,14.05749108,11.88980948
May-10,2.506100832,1.672575263,3.50541369,0.622297438,2.275348164,1.330656384,12.47803279,9.254102723
Jun-10,2.326618285,2.059087891,3.520031657,0.828519578,2.359014338,1.169639565,13.36733972,10.00539517
Jul-10,3.274409704,2.428906769,4.248849634,0.517859318,1.961726828,1.128149638,15.15794324,12.42663653
Aug-10,2.832250709,1.810025865,4.658394962,0.654998754,2.418004132,0.764215367,13.90794997,11.6383902
Sep-10,3.7886842,1.928960744,4.870333569,0.678290614,2.835767075,0.942541298,15.59723102,12.35734175
Oct-10,3.81959468,2.973995825,4.658543589,0.748901466,1.807181833,0.638948734,15.50289653,13.830858
Nov-10,2.675554458,2.410543625,4.923786442,0.760060345,1.836669267,0.880617865,14.23769266,12.70815209
Dec-10,3.912500968,3.318998507,5.329896135,0.860766879,1.926953052,0.893320772,16.86359543,14.29674344
Jan-11,4.127730386,3.522251125,5.438472,0.764430186,1.861270537,0.799247514,17.40810256,16.11425086
Feb-11,3.820406267,3.893711514,4.133488135,0.689627396,2.541310627,1.016224078,16.50939514,13.31866154
Mar-11,3.571556928,2.810480506,3.507140316,0.642035986,1.820061512,1.275463166,14.99994619,11.13807054
Apr-11,3.58277098,2.28952876,4.350796811,0.647449882,2.071501778,1.035467866,14.67777831,12.31466443
May-11,4.403388312,2.748927224,4.161508456,0.969065875,1.681323224,0.830679832,15.86203405,13.55217954
Jun-11,3.276914205,2.434778097,4.482739258,0.810479686,2.387361183,0.899794496,15.11898926,12.81280129
Jul-11,3.737633827,2.368966316,3.680257843,0.740323917,2.405095328,0.94095422,14.86304234,11.96605933
Aug-11,1.774373849,1.969281001,3.539653943,0.660470704,2.161033922,1.465425814,12.40233412,9.125285745
Sep-11,2.758591035,1.851733423,3.666698452,0.562731298,1.821718463,1.04902635,12.55260445,10.09139532
Oct-11,2.913841188,1.973543974,3.408193085,0.757788851,2.07508998,1.151895924,12.87035579,10.50150625
Nov-11,2.426752043,1.745314827,3.628000004,0.718846558,1.891378579,0.883703953,11.92546618,10.26243723
Dec-11,3.221526684,2.784569879,3.712900838,0.808051906,1.873757891,1.131653783,14.64776926,11.97646316
Jan-12,4.717303543,2.536565728,5.024064544,0.75286578,2.05701295,0.854794961,16.69739287,14.90878492
Feb-12,5.0479516,3.119342823,4.577397685,0.866675026,2.659986783,1.056466829,18.07699294,15.45728699
Mar-12,4.002674645,2.409725417,4.442494762,0.956878663,1.918921136,1.229275757,14.85589049,11.9177429
Apr-12,3.752442117,2.365886196,5.085090848,0.63535291,1.828319857,1.149448365,15.52069712,13.18316909
May-12,4.139198225,2.879759565,3.705667219,0.713548447,2.150315019,1.442741904,16.14599872,12.56109141
Jun-12,3.093275785,2.743443592,3.834464309,0.946823534,2.009861171,1.187144776,14.36772989,11.25735532
Jul-12,3.582803136,2.203355287,4.134675532,0.863441799,1.78580669,0.93780272,14.029684,11.59154002
Aug-12,3.92731931,2.847626424,4.999166912,0.825387847,2.130282195,0.933215411,16.23608712,13.74758674
Sep-12,3.461288509,2.613784952,3.729107059,0.866538883,2.242006662,1.090348472,14.39106503,11.71459421
Oct-12,3.596302142,2.576305362,5.156144519,0.720675907,2.317334676,1.172410716,16.61963238,13.67979898
Nov-12,3.710101112,2.615820629,5.753425748,0.747962338,2.002829323,1.252656992,16.92102392,14.82366869
Dec-12,4.624594714,4.566873028,5.478692257,0.707414823,2.307469139,1.408040513,20.65474034,17.01020347
Jan-13,4.145981531,4.316147055,5.867966588,1.066369669,2.011626716,1.477706237,18.77035634,15.6956686
Feb-13,3.821419462,2.515741622,4.8396916,0.660430167,2.820869823,1.414246675,16.40007447,12.59740983
Mar-13,4.740479453,3.43643107,4.817997152,0.728801265,2.582756106,0.941960834,17.99177436,15.22264118
Apr-13,3.290351705,2.670687737,5.796943426,0.803672723,1.923070361,1.328445512,16.72635131,14.87500527
