"date","namer","latam","america","europe","asiaoc","all_indices"
"07/2001",0.732777339467578,3.79073147433374,4.90594589277998,3.40427825333425,6.18817147319228,14.4461966446463
"08/2001",0.656267661473991,3.77882647077558,4.95842391913131,3.49512192069652,5.70891279801622,14.4507328801493
"09/2001",0.983495032258861,3.31073889221304,4.63703592027096,2.53373740312831,4.77119948867282,11.4730989736236
"10/2001",0.751658705084317,4.11837157600692,5.4045348225571,3.07577609056264,5.11536004109973,13.8275447012763
"11/2001",0.743050018634746,3.64349443628922,4.95049034340647,2.93452943214745,5.93886296399637,13.6445224205572
"12/2001",0.730336427950169,3.94722437128396,4.89778177632717,2.74679424574732,5.39237935628051,12.6332969406838
"01/2002",0.959263318436312,3.9896921335034,5.32759342039035,3.6349341310366,6.08258952596637,14.9460860349749
"02/2002",0.767721080574952,3.88681574818207,4.99852985360825,3.47970722646584,5.93292380828519,14.2769618251624
"03/2002",0.879890412986848,4.27093877140244,5.40971748783097,3.52364347839616,5.97154497680193,14.7563333914095
"04/2002",0.831693061904413,4.09615669377805,5.29827671566171,3.56453138810676,6.28554996857037,15.1106588733309
"05/2002",0.695238095169467,4.04002005027852,5.36216262820022,3.46671532404108,6.10329702218672,14.9944464815148
"06/2002",0.796301221212355,4.0174727743766,5.15155428114146,2.4329331552625,4.64628720052895,12.2644413315725
"07/2002",0.742106552697458,4.0606432961785,4.98476522980268,2.54292704852602,4.33176556212337,12.1971275590625
"08/2002",0.864499932418132,3.06907725937316,4.14202974266697,2.7808090729509,5.43978881789701,12.3671339347713
"09/2002",0.842997818141625,3.78496842807911,5.00342929497563,2.12228723093102,4.85803476613955,12.2960936710206
"10/2002",0.542179085356884,3.82100926360931,4.64116938509109,2.56562253655004,5.39222860819878,12.7268997738127
"11/2002",0.638322562474338,4.24780759522046,5.19894664680505,2.71329976223907,5.31364807221233,13.1578723489206
"12/2002",0.870737843282204,3.96185173189635,5.22380588056916,3.16988457745612,6.16623392163418,13.8486955733572
"01/2003",0.70690724972624,3.61825905064619,4.61586014258384,3.36039889760699,5.27106375569676,13.0395957324362
"02/2003",0.906958837402653,4.28094597988533,5.61306941081619,2.93481516760999,5.08168280040646,13.7126384349041
"03/2003",0.603039302630108,3.26142926722824,4.1742122897758,2.61917206139468,4.53828564062808,11.5753959011739
"04/2003",0.872576220789959,4.178959712729,5.51254370535703,3.08380245823207,4.83580769516347,13.1826154150591
"05/2003",0.813962680070439,3.62122324878024,4.85546427013224,3.46505457382612,5.39244166411283,14.100817839451
"06/2003",0.687892875625181,4.0321964147999,5.2083274897533,3.19377710151022,4.9318337269472,13.3742781922121
"07/2003",0.966539909684077,3.75990493763303,5.05817841787266,2.69303353665577,5.54350443576088,13.5619384831084
"08/2003",1.09090519360517,4.06124535236941,5.63828210977722,3.28812407363684,5.61212959810641,14.8245517028802
"09/2003",0.692135872810049,3.88022440496524,5.12133777369461,3.36067760004176,5.05688466661796,13.7205053057028
"10/2003",0.888289762237055,4.26040490114048,5.45901921156109,3.22564387532679,5.14241524976845,13.5296884604526
"11/2003",0.786249532690074,3.75787500884195,5.16607849061094,2.64332894143994,4.74533077401005,12.1815962391161
