Date,ACWI,SPX,LGTRTRUU ,LGDRTRUU ,LG30TRUU ,CCMP,SPTSX,MEXBOL,IBOV,IPSA,MERVAL,IGBVL,FTSE 100,CAC 40,DAX ,IBEX ,FTSEMIB ,AEX ,OMX,RTS,SMI,NKY ,HSI,KOSPI ,TWSE ,JCI ,FBMKLCI ,ASX,NZSE,STI ,CL1 ,HG1 ,GOLD,S1
2/5/01,0.00105,0.003580251,0.006236168,0.002824686,0.000106291,-0.006519987,0.008850475,0,-0.010920807,-0.005496186,-0.013924497,0.00491798,0.002043815,-0.000494427,-0.001527182,-0.000182786,-0.008791165,-0.001348019,-0.017063294,-0.032547718,0.005094711,-0.023487236,-0.015074514,-0.049385266,-0.019503726,0.015309911,-0.005884133,-0.012759399,-0.011228168,-0.011247194,-0.020732845,-0.019802627,-0.007126812,-0.013430231
2/6/01,-0.0017,-0.001514907,-0.004680721,-0.004710981,-0.001385988,0.008018582,-0.000505173,-0.011585925,0.016333869,-0.005240386,0.004221147,0.008183438,0.00385271,0.004943552,0.009753026,0.008907371,0.000571723,0.003058179,0.010731087,0.020783777,0.001688351,-0.008678981,0.005191531,0.012730283,-0.01415126,-0.019453632,0.001078624,0.003787418,0,-0.001524333,-0.006568168,0.006644543,-0.007177968,0.00431733
2/7/01,-0.0093,-0.008443694,0.001294521,0.000860706,0.000391586,-0.021498046,-0.017767158,-0.015120488,-0.011497765,-0.010754575,-0.017448879,-0.008472063,-0.010831642,-0.01727133,-0.017190008,-0.005460385,-0.013835555,-0.011328681,-0.017210358,-0.013379482,-0.00482432,0.007220373,0.00852436,-0.017871594,-0.02694174,-0.012917716,-0.005075563,-0.004002663,-0.000665256,0.000558689,0.029862654,-0.002411092,-0.001517739,-0.001616815
2/8/01,-0.00842,-0.006254182,-0.009450492,-0.005383227,0.001269864,-0.017703001,-0.006246487,-0.003056467,0.025309927,0.001742888,0.011699039,0.003359589,-0.003137144,0.003699595,0.008754748,0.014079573,0.001019439,0.003258997,-0.011004238,0.02252941,-0.010575214,-0.017188616,-0.008765698,0.026342552,0.011355165,-0.008037471,-0.012740257,0.005229418,0.007673033,0.021819735,0.010181443,0.001206273,-0.010305435,-0.024571261
2/9/01,-0.01041,-0.013425251,4.77E-05,0.001352591,0.001552909,-0.036200836,-0.013648948,0.002081242,-0.006102102,0.000665649,-0.010628015,0.007234355,-0.006758093,-0.010639306,-0.02128012,-0.008468215,-0.014790546,-0.006930079,-0.031609934,-0.010204712,-0.002358298,0.021430688,-0.002272937,0.00657099,0.008858642,-0.029614569,0.006838911,-0.005109865,0.005031581,-0.005558971,-0.017886136,-0.011518769,0,0.008805781
2/12/01,0.01055,0.011757933,0.001909802,0.000707634,0.001369838,0.007535369,0.004711132,0.013553357,-0.01299898,-0.007301212,0.004608166,-0.006212792,0.01242993,0.008214945,0.010387493,0.015994111,0.015137845,0.001925392,0.008401887,0.002374658,-0.003718981,0,-0.01141543,0.006244423,0.006387649,-0.008092688,0.001061783,0.005360321,0.005437524,0.008955144,-0.01689998,-0.003053437,0.002681994,-0.006597055
2/13/01,-0.00692,-0.008689841,-0.002256545,-0.001449275,0.001357174,-0.02519361,-0.006443005,-0.010852159,0.010509069,0.00361564,-0.011810028,-0.005361577,-0.002068983,-0.003556986,-0.001063794,-0.004198371,-0.003269379,0.004462258,-0.00165127,0.046131444,0.00138042,-0.011097021,0.009488326,-0.00070118,0.030389991,0.004013468,-0.008915281,0.003253216,-0.003579865,3.93E-05,-0.004928546,0.008526239,-0.001531687,-0.007196267
2/14/01,-0.00602,-0.002186191,7.40E-05,-0.000489305,0.000133069,0.025892256,-0.003427883,-0.000193375,0.001418642,-0.006103763,-0.011890555,0.002536492,-0.008432338,-0.016656422,-0.011974556,-0.029728795,-0.014221464,-0.008606443,-0.032549943,0.008772529,-0.01125066,0.000704852,0.001116609,0.00839845,-0.02346864,-0.006965059,-0.006417075,0.002704643,-0.018079907,-0.01112049,-0.021642263,-0.003036747,-0.004224277,0.004434597
2/15/01,0.00438,0.008090775,-0.005746104,-0.00386155,0.001523335,0.024389084,0.00624205,0.005503617,-0.010738495,0.005668366,-0.001678447,0.001712667,0.003507329,0.010626812,0.017106282,0.010761887,0.007673842,0.005633818,0.032442369,0.044518216,0.006709637,0.003256496,-0.00658197,-0.000331274,0.03612158,0.039403455,-0.004502522,-0.007324714,-0.005685517,0.000466244,-0.031108302,0.007272759,-0.015513206,-0.003879196
2/16/01,-0.01319,-0.019086321,0.007067078,0.005407168,-0.000570492,-0.051245672,-0.066162773,-0.004183752,-0.040862119,-0.005374307,-0.022390522,0.003771151,-0.017841628,-0.01936402,-0.023393104,-0.007713167,-0.021742042,-0.01108914,-0.031896986,-0.036177261,-0.013877021,-0.011463031,-0.00803275,0.00213479,-0.009641298,-0.018672975,0.004670448,-0.001694559,0.000942696,-0.000987306,0.01242252,-0.003629768,0.012043658,0.008294214
2/19/01,-0.00113,0,0.001118105,0.000513401,0.000137115,0,0.007891858,0.000160151,-0.012270647,0.001268106,0.004357665,-0.007548977,0.000935784,-0.001856908,0.005104,0.007307623,0.001504029,-0.008875798,0.003326448,-0.015708081,0.001481358,-0.004251752,-0.00895535,-0.013732021,-0.018087829,0.007057078,-0.004670448,-0.008685351,0.001711719,-0.011999695,0,0,0.002699577,0
2/20/01,-0.01374,-0.017508964,-0.003587222,-0.002049442,-0.003876409,-0.045132487,-0.026713934,-0.019523649,-0.009395362,0.001781182,-0.031973412,-0.002838954,-0.01886739,-0.006468794,-0.003194115,-0.018504453,-0.015603341,-0.002026774,-0.006542438,-0.005832042,-0.008181247,0.009767238,0.002347001,0.02002705,0.0057085,-0.003356279,0.00279367,0.003397271,0.013209596,0.012739026,-0.020090735,-0.005469476,-0.011621281,0
