"date","america","europe","asia","commodities","bonds","all_indices"
"01/2001","3.9695868352979","4.195259568774","5.46103452923578","2.27736932893257","0.920410342218588","17.9286863862194"
"02/2001","4.55887613630827","3.6955951098374","5.74625152331019","2.74185099325714","1.16675192947862","18.9041539176553"
"03/2001","3.78550293552474","2.58269226433144","5.40004360989177","2.35030102683387","1.0362135467634","16.8620385228604"
"04/2001","3.43331922823479","2.85298051525969","5.43576347174318","2.63843385258898","1.39568718064642","16.8227645145761"
"05/2001","4.63750018653394","4.12127487765062","5.63616910663026","2.47270608561333","1.05608411937335","20.0730064389503"
"06/2001","4.56699292795063","4.68036504752336","5.80950878174849","2.69519142117881","1.10847700290875","19.9434416322709"
"07/2001","3.94105398012658","3.40427826159678","6.13008998050879","2.91131186806238","1.18649524059953","18.691523687053"
"08/2001","4.03788530034379","3.49512189191256","5.81630225129715","2.79403716564752","1.08924392892349","18.687552122488"
"09/2001","3.83157121400512","2.53373739484179","4.21937500146289","2.72971921112967","1.34596765977103","15.9805711610514"
"10/2001","4.39353821868477","3.07577609415374","5.01324814099359","2.69398107708952","1.27299422503299","17.8182190221568"
"11/2001","4.13782884872712","2.93452942901278","6.1289020687108","2.67422127290178","1.31719973426147","18.3695974464817"
"12/2001","4.12162972481005","2.74022105976889","5.50888425175466","2.65096037861552","1.1265304514058","17.9722271681451"
"01/2002","4.48741273122108","3.61117330282039","6.02337428837239","2.60406643231673","1.11864775251808","19.4764671628994"
"02/2002","4.45114535860893","3.47970723509054","5.92607904792022","2.66089999530859","1.1739763268027","19.0318981729509"
"03/2002","4.49397900580439","3.52254749688147","6.04907765212715","2.75733195439321","1.29766921819439","19.0228213362531"
"04/2002","4.44772183187907","3.56169687697941","6.10584956193898","2.43194115878528","1.33557010627513","19.5332252401773"
"05/2002","4.55809096858128","3.46671532407655","5.49771713290091","2.86035571753513","0.881740597739269","19.0423543251205"
"06/2002","4.31413818185757","2.43293315081147","4.37638149378916","2.66032231338465","1.5029833960212","16.8233907466448"
"07/2002","4.03404087168978","2.54292704737896","3.94746771671142","2.5627857433449","0.930797590548582","15.8830656311705"
"08/2002","3.37796457838697","2.78080907283023","4.77596574623608","2.69661713963255","1.12443781101269","16.5509347875619"
"09/2002","4.12362156340294","2.12228723372002","4.86298585236563","2.86299035345083","1.18479969976207","16.4973181381476"
"10/2002","3.70277585036064","2.56562253898055","5.17379547305692","2.92779480182264","0.94521930258153","16.3876264214694"
"11/2002","4.33860624732132","2.71329976102408","4.94406428766691","2.43822000798564","1.26631435879441","17.2949311066289"
"12/2002","4.46190559057733","3.16968247833448","5.78056230510291","2.63909984120127","1.2288275936592","18.1608222386304"
"01/2003","3.75036314454956","3.36535930921743","5.27231481663755","2.62749657435213","1.04118104537728","17.4606335365348"
"02/2003","4.71840793217237","2.93481516906475","4.97899049246308","2.71316469761029","0.934013284449742","18.0477471240061"
"03/2003","3.30950242157608","2.61917205843642","4.09446921230715","2.96775277228063","0.679992204772702","15.0806092183814"
"04/2003","4.67037937931139","3.11854086337845","4.69265342798903","2.43543863526759","0.889031251746258","17.3988899794756"
"05/2003","4.13008222841051","3.46505456448563","4.96716368844377","2.71394094324761","0.819776081010945","18.2615374444265"
"06/2003","4.31746951818648","3.19377711339526","4.80050030356389","2.55035541359326","0.694098832427378","16.9135881065375"
"07/2003","4.23419252744607","2.69303354279121","5.66413231274964","2.79738028662594","0.825709835675463","17.8845245448713"
"08/2003","4.75228141806945","3.28812406358873","5.4940383783012","2.73249542846036","1.30723342835546","19.4928937404955"
"09/2003","4.32823822409383","3.36067759951262","4.97988022673779","2.47333735142633","1.04939558245506","18.1177757464422"
"10/2003","4.50353988893015","3.2256438845209","5.0694584308106","2.71345001581807","1.0036494230593","17.9506104630846"
"11/2003","4.24230330061917","2.64332895503866","4.71477899805199","2.16654769897665","0.68404397279367","16.0505960604609"
"12/2003","3.72996449256596","3.96343553668325","5.42943706908332","2.5772769615322","1.08914901746591","18.6733292035012"
"01/2004","4.62663871268666","3.74315293181073","5.96502259734442","2.30650740159144","0.626373674781969","18.2799374678116"
"02/2004","4.644845940862","4.01722003227901","5.42508692255556","2.65616360032131","0.762677005209479","18.6972245708749"
"03/2004","3.95884251065421","2.64593247095584","5.51004515474451","2.22227644576299","0.637070661828451","16.9287520638671"
"04/2004","3.62210640114306","3.07380282324403","5.16072131652431","2.21216069724277","0.584130137004095","16.9465117648943"
"05/2004","3.47401782303533","2.67471817208092","3.58753715996694","2.38173783553298","0.65214162835815","13.460987441581"
"06/2004","3.80716678850387","3.29450563467607","5.17826945987574","2.17004760898587","0.647100706839975","16.5508890154374"
"07/2004","4.93381136560568","2.98933787198277","5.32526232367706","2.57272739804182","0.520345910527226","18.0993609174471"
"08/2004","4.27755939948511","2.7880541728584","5.5814133312948","2.81031114370393","0.397037711180798","17.4050556539303"
"09/2004","4.7213860038742","3.4088397501883","5.96325047825402","2.52633864103607","0.648316120768782","18.8466404889343"
"10/2004","4.17822205044776","2.25290813287894","4.10175103220886","2.16013603158825","0.902799699511488","15.5224725055711"
"11/2004","4.95645609948862","3.51758322786021","5.23546506310168","2.56094819585999","0.881389916264716","18.4594579809286"
"12/2004","4.4749038249938","3.22873883338331","5.79630724381924","2.40595483788114","0.557396181019019","18.2841369801687"
"01/2005","4.44366897028722","3.29817592530127","6.16230087483691","2.88071637206131","0.704719405561691","18.3968214729014"
"02/2005","5.00850972436463","3.68524323734403","5.61661871209469","1.91123731993485","1.02003655945558","19.0328974490236"
"03/2005","4.51982670160061","2.93606592455632","4.82540771614199","2.25889043944583","0.750450421172802","17.5121305710988"
"04/2005","3.79628536688928","2.79278089197571","4.03784683228619","2.28955741200804","0.98366880021929","15.418958345767"
"05/2005","4.1796003926408","3.97135227654447","5.62284325023419","2.52965302999548","0.96060411460951","19.2053101380925"
"06/2005","4.28914614420268","3.53726066522837","5.65817550923375","2.32469263690971","0.968887268013815","18.7330617813647"
"07/2005","4.91157291486779","3.01343693758412","5.6434381479472","2.98789287231488","0.773222328130559","18.5678287392424"
"08/2005","4.50048693030609","3.32904947042754","5.6197312995172","2.59653199389282","0.696199178390512","18.7327247301257"
"09/2005","5.09108865078354","3.6944964688151","5.8210693976839","2.46409857445934","0.711187322749748","19.4662554478666"
"10/2005","3.27059109934798","2.37081565605672","4.31255951448003","2.2335683047005","0.954428377831618","15.5808500600405"
"11/2005","4.58918291534443","4.03031824438404","5.81776695861228","2.93054803736522","0.78109783219616","19.6690427934793"
