"date","prop_mstl_namer","prop_mstl_ameri","prop_mstl_latam","prop_mstl_europ","prop_mstl_asiao","mstl_all"
"07/2001",0.0507245856811138,0.527699568882367,0.506941529089976,0.394528350421072,0.715230417198601,14.4461966446463
"08/2001",0.045414143830414,0.656539664621416,0.570248062030901,0.343470611126629,0.639305214746846,14.4507328801493
"09/2001",0.202993665823466,0.563990573224265,0.494940676120032,0.421298185938435,0.630181533000463,11.4730989736236
"10/2001",0.0543595208927395,0.57526588093487,0.550837319279296,0.266902408588058,0.497050506038734,13.8275447012763
"11/2001",0.054457752036469,0.471106831913879,0.370475322979284,0.21938630283515,0.573220399777646,13.6445224205572
"12/2001",0.0578104378753434,0.619796561170941,0.619796561170941,0.394226779796359,0.623167578760108,12.6332969406838
"01/2002",0.193444106184822,0.568139222599856,0.506627171782543,0.245214189947553,0.449985316734807,14.9460860349749
"02/2002",0.0537734211225448,0.490668269504585,0.490668269504585,0.285204098652761,0.499988870593247,14.2769618251624
"03/2002",0.190820869934199,0.746266095406118,0.613341256572283,0.240784554425923,0.627896282001131,14.7563333914095
"04/2002",0.055040158663914,0.48568005415296,0.48568005415296,0.269752668476102,0.567919163580438,15.1106588733309
"05/2002",0.046366372778519,0.546025647821911,0.517056554924008,0.232713933055618,0.626787539098939,14.9944464815148
"06/2002",0.0649276391548654,0.625183205315259,0.605608814183473,0.19837292947045,0.449919671471806,12.2644413315725
"07/2002",0.0608427311351737,0.482919634564873,0.422076903429699,0.210584464317788,0.448910550974052,12.1971275590625
"08/2002",0.0699030136632962,0.396189229162643,0.345499372712854,0.53924120829928,0.601948149397171,12.3671339347713
"09/2002",0.0685581812155839,0.543141175384451,0.503827362751167,0.172598492473494,0.515545515009682,12.2960936710206
"10/2002",0.0426010336368398,0.570312181882251,0.570312181882251,0.406770956567591,0.555734430078443,12.7268997738127
"11/2002",0.0485125972913626,0.779890760543238,0.74794702222504,0.209466463157439,0.454959689959056,13.1578723489206
"12/2002",0.0628750800874972,0.527614104383811,0.387160829503137,0.344656541233584,0.720570552794359,13.8486955733572
"01/2003",0.0809863403662262,0.609342593461905,0.557541494529473,0.260538534692991,0.479883822671965,13.0395957324362
"02/2003",0.131514442308899,0.816786944239486,0.759938409791825,0.21402264644707,0.401766575437771,13.7126384349041
"03/2003",0.0520966460049067,0.425196415013214,0.391568363066948,0.226270624672894,0.445139837271555,11.5753959011739
"04/2003",0.0661914341969785,0.756845117430758,0.624488721627351,0.235932820644806,0.435215619783159,13.1826154150591
"05/2003",0.0932183229419847,0.344339195457707,0.303780299429745,0.373037415848324,0.560746289839793,14.100817839451
"06/2003",0.0514340187738689,0.582169361726579,0.561741515850524,0.306945763908243,0.463322616138091,13.3742781922121
"07/2003",0.140103193820789,0.641496452053741,0.602936812408613,0.344815172956056,0.670127705185366,13.5619384831084
"08/2003",0.0735877357689825,0.616556416863909,0.585510157332252,0.388611419787125,0.680376594692653,14.8245517028802
"09/2003",0.0504453631545459,0.572355493372972,0.572355493372972,0.326497398596318,0.451635580327892,13.7205053057028
"10/2003",0.0656548570821517,0.637041515583808,0.616925494688337,0.440687025829122,0.588969590676908,13.5296884604526
"11/2003",0.0645440480259363,0.755025776358114,0.640529323278044,0.220235027697484,0.403789956392686,12.1815962391161
"12/2003",0.0521269426268516,0.586513397542166,0.586513397542166,0.279639820232602,0.452799023139948,14.1754738470086
"01/2004",0.0716724385926025,0.668391855120091,0.641380789694754,0.337865960513106,0.632478941702855,14.9911075973948
"02/2004",0.0603493188092616,0.605323366410403,0.605323366410403,0.526856394055982,0.475417182445415,14.8993475557971
"03/2004",0.0479810505815883,0.569027950437984,0.549314369401957,0.28727263118753,0.721564228749783,13.2111378964624
"04/2004",0.0627684458568372,0.425308561621868,0.425308561621868,0.236153812032414,0.445218057827174,13.2792565101273
"05/2004",0.0788142778541242,0.515048216091261,0.387847205115506,0.455900982216592,0.496676443838332,10.4845745673544
"06/2004",0.0602670425948417,0.522218174807988,0.522218174807988,0.249467831042117,0.633599215327985,13.3746161148338
"07/2004",0.157830636338298,0.456426512555202,0.412399053256234,0.21003299253407,0.548087905079926,14.4114429762453
"08/2004",0.0976711805112696,0.635745992201852,0.635745992201852,0.319612966575263,0.479581193231151,13.705248999247
"09/2004",0.0707806870713639,0.568084867527433,0.497304180456069,0.275733727863074,0.643480199243768,14.7770188138308
"10/2004",0.0776556597145635,0.618585067497686,0.618585067497686,0.192891151062275,0.391686184372647,11.823815339265
"11/2004",0.117250981415198,0.621849350107201,0.567546788058147,0.307343028968917,0.563702341526795,14.6339675867756
"12/2004",0.0604488732354228,0.481033712695012,0.378840333309073,0.27172057988164,0.528438058589575,14.8841910506195
"01/2005",0.0520118470279371,0.657129152900953,0.605117305873016,0.224986662355,0.487765663794764,14.6594285171258
"02/2005",0.0565199504052289,0.680582955410936,0.662431760437758,0.34728104766981,0.489908196591808,15.1355015173696
"03/2005",0.115937290950175,0.498798872223771,0.431244334196161,0.214526182528471,0.4206203197277,14.0661738422311
"04/2005",0.108092649707361,0.541781426070461,0.541781426070461,0.283165128685521,0.383720748121691,11.6939777930056
"05/2005",0.0545255435493776,0.476721893495077,0.454113320891437,0.408757970712894,0.632985259217266,15.0623813663814
"06/2005",0.0719657192637841,0.490764770600624,0.41879905133684,0.601101486298629,0.483582148527563,14.550132296085
"07/2005",0.0635200877716289,0.626097753188694,0.581861507837995,0.20570601898323,0.618667881762116,14.9279981365494
"08/2005",0.119641793675701,0.530324343620661,0.47208348717991,0.277981266035197,0.55774001372054,14.5860971992637
"09/2005",0.171137600119657,0.656919261850198,0.559118724916868,0.425641087501138,0.659989552338125,15.1685834929568
"10/2005",0.0647310558008712,0.673933177685311,0.575688812183219,0.211419645531555,0.452880194097817,11.3073270537574
"11/2005",0.104808118165587,0.468159619842454,0.422736390691001,0.303748033713676,0.61478022663858,15.3472405112767
"12/2005",0.158674061735073,0.412423587941625,0.360854929955302,0.324018416907076,0.580758775979312,14.7173111650358
"01/2006",0.0584484285254243,0.706748865551693,0.648300437026268,0.419477934629511,0.431458945608196,12.8425889627234
"02/2006",0.106086029057494,0.596782956280199,0.596782956280199,0.20794456795904,0.808932640904936,14.1488113773959
"03/2006",0.269463380172289,0.470133481225408,0.443135033577574,0.32798818146855,0.708251416852685,14.120775606298
"04/2006",0.168000734777893,0.356972260229325,0.327254097908405,0.319782989157138,0.712914278283011,13.9232551070005
"05/2006",0.119748115202049,0.457246429039496,0.337498313837447,0.191094653561886,0.502035256687245,9.84687712788021
"06/2006",0.0904594223713022,0.486559340048531,0.486559340048531,0.212326569444468,0.487859886890479,9.32708334737708
"07/2006",0.136796931324364,0.424349984647661,0.369020542213163,0.203116578780042,0.453083676076696,9.51148220764584
"08/2006",0.121987273970638,0.624186908255989,0.564835511797036,0.205951520154706,0.47073008843519,14.0433197610437
"09/2006",0.194146249585522,0.461846702283828,0.461846702283828,0.319758133881386,0.48382081599392,11.8450022634211
"10/2006",0.162878740058953,0.646886393726507,0.627838209848102,0.333149171487289,0.525070871183694,13.7167496059482
"11/2006",0.221436404412329,0.712453350458938,0.574352887151363,0.226802369606118,0.569282381046417,13.0160952756248
"12/2006",0.092288999240437,0.552030614451463,0.459741615211026,0.32673180745171,0.52622080094244,13.5388486016695
"01/2007",0.151476489047222,0.552251467188465,0.478585985609624,0.376690559196111,0.452412869296553,13.4565300707744
"02/2007",0.0563703974785704,0.398162011850468,0.341791614371897,0.216155691654043,0.466574344222241,9.27515848844344
"03/2007",0.0598602153029433,0.419819772918088,0.359959557615145,0.395480661423793,0.348925761718773,8.80443966872656
"04/2007",0.0648574927146062,0.605278848965039,0.605278848965039,0.262112563467173,0.438045984717583,11.7773202259416
"05/2007",0.11297979261326,0.423995785655357,0.36235877361595,0.332524291189168,0.497231918523114,13.6884180278127
