"","block","america","europe","asia","commodities","bonds","all_indices"
"1",1,4.2167306558495,2.80274213129124,5.26440746814135,2.48797015294444,1.13456366422354,17.4077720134245
"2",2,4.22574365139097,2.79429490388478,5.22628106002165,2.68321425476274,1.15887957430877,17.3821395537458
"3",3,4.22961073046568,2.67281202541235,4.96243811285562,2.81277743244962,1.19337274432893,17.3515619436458
"4",4,4.08807118723001,2.73359222471575,4.7948771082954,2.78267296403618,1.21032597258844,17.1793472596422
"5",5,4.01281494284831,2.62874004976133,4.8301850812222,2.84019395596247,1.22091245251918,16.9772804035496
"6",6,3.97972531239702,2.53646741325565,4.80748699446403,2.77813451047567,1.18455171982811,16.845100154154
"7",7,3.83805175117521,2.44879979120934,4.77267483723489,2.64900799882331,1.27061422308088,16.5961468655301
"8",8,4.11391469562652,2.83666470403576,5.45995427087378,2.69044372575567,1.3678874438509,18.0297362794499
"9",9,4.18458090848073,2.97224212086896,5.17424971193492,2.71367828382005,1.21655449464625,17.8994008218092
"10",10,4.20729148856417,2.95816259391929,5.06999277117656,2.62854817785206,1.21134283286203,17.837137993388
"11",11,4.45779115275813,3.07574402185783,5.11906631478089,2.68901994616922,1.1961422719554,18.3340123463333
"12",12,4.48735220712461,2.92870782478072,5.02511674719752,2.5955368734582,1.13008681071951,17.9275774257167
"13",13,4.70507189802345,3.03826007258409,5.04213956373542,2.60188368335173,1.12259595117559,18.0213870788844
"14",14,4.6196026666363,2.99989367265741,5.06965366498316,2.70077538643489,1.11957274392921,17.8394354219679
"15",15,4.66753754046419,3.14137059023335,5.10160705794921,2.71288025376085,1.09548206616771,18.0416815361361
"16",16,4.62679480367333,3.21263152153305,4.9971259775611,2.71538486004962,0.93967820786432,17.4789434376181
"17",17,4.36765009858648,3.30258284482608,5.5065340086716,2.69030460666407,0.940599274309919,17.9271185636852
"18",18,4.26728782590438,3.31083143881454,5.46430388764102,2.65191233377993,0.895695790439152,17.7353435580515
"19",19,4.39668574021569,3.37799996558134,5.60309784377493,2.71614491715979,0.777288241248268,18.1266967258448
"20",20,4.48566353974201,3.34052226547227,5.64390387065131,2.83293330407993,0.7752803982831,18.4333270452736
"21",21,4.32384259090014,3.32933455905308,5.60683021849721,2.92657895933997,0.742238206955007,18.2823300099441
"22",22,4.29819805388936,3.47067732016887,5.41341698043389,2.87976895582022,0.743200307585663,18.1839038039437
"23",23,4.43722572337422,3.14257284081674,5.5554532879249,2.83588987848973,0.734293777356915,17.9199833681403
"24",24,4.59104952110424,3.38679493797866,5.50874113417703,2.73607114089816,0.713777423774791,18.4439671531139
"25",25,4.64698649132066,3.25342904476803,5.26845704869203,2.85294038180979,0.729470587824036,18.2552195243232
"26",26,4.58650943301698,3.23619669176018,5.34594916151318,2.78832751908211,0.754360584334132,17.9920413437966
"27",27,4.45625921610758,3.05757503524298,5.44951657580046,2.75995817015801,0.755565987691166,17.8433106822597
"28",28,4.00110589607906,3.06004854328427,4.93678172864594,2.79730914096267,0.740140229111133,16.8078500890955
"29",29,4.02453727629721,3.32731647553898,4.85293320989984,2.71880701286499,0.72911535407198,17.2399475362461
"30",30,4.05609488726874,3.16204218965619,5.06391854194388,2.61978538662341,0.664837402302118,17.3111733682424
"31",31,3.9282660796678,3.21606377093322,5.11473830653756,2.70481701555432,0.664348574587047,17.2268019962206
"32",32,3.99966533299103,3.1454930718961,5.12684314026831,2.72926160889357,0.710457887497438,17.4342190225467
"33",33,3.917136985598,3.06240326255113,5.16916214940699,2.74367891501407,0.703860308513085,17.4168673097779
"34",34,3.88823070027171,3.13382105273335,4.88013464418835,2.70217024623279,0.704060446892999,17.3256208413365
"35",35,3.9454082164667,3.26233594176628,4.86974290178439,2.59836838875501,0.702874382091731,17.3902365917016
"36",36,4.47428206697735,3.2846355082206,5.68382898268106,2.50673683810178,0.706588884759259,18.7256759852253
"37",37,4.31160874781325,3.22509739601909,5.58052480139589,2.51172104568,0.74584040932102,18.5839064723133
"38",38,3.86448775080556,3.26326342886385,5.18537691144285,2.39304327395492,0.891329730788196,17.9119895770576
"39",39,3.96162952970483,3.43572559955585,5.14826361718924,2.23680687245453,0.924243747968818,17.9217153580569
"40",40,4.0351524496828,3.69003080088201,5.28729322385535,2.16429104979159,0.958046241381433,18.2992800871545
"41",41,3.95027621693036,3.52086321656491,5.54199420896061,2.2127290232985,0.96733433903833,18.1754992942442
"42",42,3.99494845349205,3.43451103711384,5.71689198959897,2.29469099875844,0.943536289115606,18.6859720496338
"43",43,3.97331493397014,3.15203484657001,5.33534186594301,2.36512447881745,0.974806524621978,18.019834589437
"44",44,3.977183070446,3.21762315625581,5.42508207100442,2.53012476989609,0.962996345661391,18.1610040951506
"45",45,4.01122911648748,3.40216926745168,5.30854190892966,2.57728600688401,0.925963650458207,18.0988946143807
"46",46,4.31139211227017,3.57743235302971,5.36345005152764,2.64114581583523,0.870818381960306,18.7590698741485
"47",47,4.34514316056569,3.65636771606352,5.4487157754703,2.54288910089516,0.791246431143023,18.7144322801627
"48",48,4.21318167694664,3.4816406670541,5.3111657023743,2.45199045769041,0.698091144640627,18.0734334332108
"49",49,4.02661709856932,3.10376970626452,5.02603141512787,2.43808502499078,0.711153685991581,17.0375787211709
"50",50,3.69982958454685,2.84920040334513,4.71234129372599,2.28716539424897,0.638665323147399,15.9173961146043
"51",51,3.63347629520282,2.71200535644002,4.88828147223095,2.08295750962259,0.556967637541126,15.6919814509172
"52",52,3.4888140790171,2.67355215311267,4.82322651985606,1.9974703844044,0.574722309247345,15.235212763813
"53",53,3.52214074315605,2.64655813170741,4.91290082119753,1.93529181093818,0.68675175433,15.3496415963252
"54",54,3.46143989895682,2.68957260602667,4.90263471754966,1.99691126768112,0.647989160545331,15.3493532845529
"55",55,3.5340015584141,2.4817289906565,4.74471922011809,2.03921661857421,0.69050370438905,15.2753222924869
"56",56,3.60202386462601,2.465575628112,4.9923992595132,2.07277288046464,0.702269442617587,15.5829387794067
"57",57,3.52153133656743,2.48402882970866,4.93889264532122,2.02414494416795,0.736176681084404,15.2692266011166
"58",58,3.68685423625631,2.53273763820845,4.86548395970134,2.11840622201016,0.889961942545247,15.7405176518764
"59",59,3.8984961997153,2.87735012641941,4.95985489481302,2.34688650038897,0.918207751609794,16.5422167279747
"60",60,3.67160377269452,2.77521632023108,4.97131333842252,2.38145177785563,0.906950277875309,16.4049822807749
"61",61,3.30290442498754,2.65096401906097,4.59193827565761,2.40272672204802,1.07009530586158,15.3774499650645
"62",62,3.10667656194338,2.65635478610766,3.45752776597985,2.33589569964526,1.19396307453604,14.2157779907396
"63",63,3.15090799360289,2.63286344270569,3.42557134252082,2.34849558204363,1.23067665721171,14.1893235800163
"64",64,3.06152992692178,2.76304846225986,3.28355552576083,2.52972910450879,1.30430617389639,14.1172859588084
"65",65,3.02372021023205,3.04275275830938,3.22146732509066,2.69036282016862,1.30813811094783,14.6008038172013
"66",66,3.00831320744892,3.09288329902074,3.37709832289442,2.6271266232141,1.28469950448844,14.8793821121407
"67",67,2.86071461884386,2.97948118020772,3.65635526218183,2.53296855114431,1.24595304497381,14.9810449202867
"68",68,3.02706100154042,2.96530077358615,3.64440037404559,2.30166441700376,1.26367134398381,14.9946939934098
"69",69,3.12475108941115,2.99855355592213,3.79797314784373,2.25247139797947,1.31841216870187,15.2699536969592
