"ACWI","SPX","LGTRTRUU","LGDRTRUU","LG30TRUU","CCMP","SPTSX","MEXBOL","IBOV","IPSA","MERVAL","IGBVL","FTSE.100","CAC.40","DAX","IBEX","FTSEMIB","AEX","OMX","RTS","SMI","NKY","HSI","KOSPI","TWSE","JCI","FBMKLCI","ASX","NZSE","STI","CL1","HG1","GOLD","S1","mandy"
-1.33217904021012,-0.950270539233235,-0.950270539233235,-1.05492016798614,0,-0.950270539233235,-0.950270539233235,-0.950270539233235,-1.05492016798614,-1.33217904021012,-0.950270539233235,-1.33217904021012,-0.673011667009257,-0.673011667009257,-0.500402423538188,-1.05492016798614,-0.673011667009257,-0.950270539233235,-1.33217904021012,-1.05492016798614,-1.05492016798614,-1.05492016798614,-1.05492016798614,-1.05492016798614,-0.500402423538188,-0.500402423538188,0,-0.673011667009257,-1.05492016798614,-0.950270539233235,-1.05492016798614,-1.05492016798614,-0.950270539233235,-0.500402423538188,"01/2001"
-1.02965301406457,-1.05492016798614,-1.27985422583367,-1.27985422583367,-1.05492016798614,-1.31383403319275,-1.08889997534522,-1.22060726455302,-1.27985422583367,-1.3661588475692,-1.05492016798614,-1.27985422583367,-1.31383403319275,-1.05492016798614,-1.08889997534522,-1.05492016798614,-1.05492016798614,-1.27985422583367,-1.08889997534522,-0.940447988655326,-1.3661588475692,-1.27985422583367,-1.27985422583367,-0.950270539233235,-1.27985422583367,-0.801818552543337,-1.27985422583367,-1.22060726455302,-1.3661588475692,-1.3661588475692,-1.33217904021012,-0.943348392329039,-1.31383403319275,-1.27985422583367,"02/2001"
-1.2945451658449,-1.2406842919534,-1.16851840574309,-1.03619878481928,-1.2406842919534,-1.16851840574309,-1.12095039267358,-1.2636544318821,-1.3730039128772,-1.3421131789144,-1.2636544318821,-1.3421131789144,-1.3421131789144,-1.2945451658449,-1.3421131789144,-1.2945451658449,-1.2945451658449,-1.2406842919534,-1.3421131789144,-1.2882523050229,-1.2406842919534,-1.3730039128772,-1.03619878481928,-1.2406842919534,-1.3421131789144,-1.3421131789144,-1.03356205420682,-1.2945451658449,-1.2882523050229,-0.994923632571775,-1.06708951878208,-1.09005965871078,-1.03619878481928,-1.09005965871078,"03/2001"
-1.22060726455302,-1.33217904021012,-1.22060726455302,-1.27985422583367,-1.27985422583367,-1.3661588475692,-1.22060726455302,-1.3661588475692,-1.27985422583367,-1.31383403319275,-1.3661588475692,-1.22060726455302,-1.22060726455302,-1.19354960409813,-1.19354960409813,-1.05492016798614,-1.16828245017656,-1.02965301406457,-1.27985422583367,-1.22060726455302,-1.08889997534522,-1.02965301406457,-1.3661588475692,-1.16828245017656,-1.05492016798614,-1.02965301406457,-1.33217904021012,-1.08889997534522,-0.673011667009257,-1.31383403319275,-1.3661588475692,-0.950270539233235,-0.950270539233235,-0.940447988655326,"04/2001"
-1.3421131789144,-1.2945451658449,-1.2945451658449,-1.2945451658449,-1.2406842919534,-1.09005965871078,-1.03619878481928,-1.2945451658449,-1.09005965871078,-1.12095039267358,-1.2406842919534,-0.916464885539471,-1.06708951878208,-1.3730039128772,-1.2945451658449,-1.3730039128772,-1.16851840574309,-1.3421131789144,-1.2945451658449,-0.994923632571775,-1.3421131789144,-0.859967281035505,-1.2945451658449,-1.16222554492109,-1.12095039267358,-0.859967281035505,-1.3421131789144,-1.16851840574309,-1.2945451658449,-1.2406842919534,-1.2406842919534,-1.3421131789144,-1.3421131789144,-1.16222554492109,"05/2001"
-1.27985422583367,-1.3661588475692,-1.27985422583367,-1.27985422583367,-1.27985422583367,-1.08889997534522,-0.950270539233235,-1.27985422583367,-1.31383403319275,-1.16828245017656,-1.27985422583367,-1.27985422583367,-1.27985422583367,-1.08889997534522,-1.3661588475692,-1.05492016798614,-1.27985422583367,-1.33217904021012,-1.27985422583367,-1.27985422583367,-1.16828245017656,-1.05492016798614,-1.27985422583367,-1.31383403319275,-1.19354960409813,-1.16828245017656,-1.27985422583367,-1.02965301406457,-1.08889997534522,-1.27985422583367,-1.3661588475692,-0.943348392329039,-1.27985422583367,-1.27985422583367,"06/2001"
-1.2945451658449,-1.2882523050229,-1.2636544318821,-0.859967281035505,-1.2636544318821,-1.16851840574309,-1.03356205420682,-1.3421131789144,-1.12095039267358,-1.2636544318821,-1.12095039267358,-1.2945451658449,-1.2406842919534,-1.2945451658449,-1.2945451658449,-1.2406842919534,-1.2945451658449,-1.2882523050229,-1.12095039267358,-1.2945451658449,-1.2406842919534,-1.2945451658449,-1.12095039267358,-1.3421131789144,-1.3421131789144,-1.2406842919534,-1.03619878481928,-1.2945451658449,-1.3421131789144,-1.2406842919534,-1.2406842919534,-1.2882523050229,-1.16222554492109,-1.2406842919534,"07/2001"
-1.2636544318821,-1.2406842919534,-1.2406842919534,-0.994923632571775,-1.16851840574309,-1.16222554492109,-1.3421131789144,-1.2945451658449,-1.03356205420682,-1.09005965871078,-1.2945451658449,-1.3730039128772,-1.3730039128772,-1.2945451658449,-1.2406842919534,-1.2636544318821,-1.2945451658449,-1.2882523050229,-1.12095039267358,-1.09005965871078,-1.2882523050229,-1.3421131789144,-1.2945451658449,-1.2406842919534,-1.3421131789144,-1.2945451658449,-1.2636544318821,-1.09005965871078,-1.2406842919534,-1.2406842919534,-1.3421131789144,-0.994923632571775,-1.2945451658449,-1.16851840574309,"08/2001"
-1.22060726455302,-1.3661588475692,-1.27985422583367,-1.27985422583367,-1.27985422583367,-1.3661588475692,-1.3661588475692,-1.05492016798614,-1.33217904021012,-1.27985422583367,-1.19354960409813,-1.08889997534522,-1.3661588475692,-1.27985422583367,-1.27985422583367,-1.3661588475692,-1.33217904021012,-1.27985422583367,-1.27985422583367,-1.31383403319275,-1.3661588475692,-1.27985422583367,-1.3661588475692,-0.89794572485678,-1.19354960409813,-1.27985422583367,-1.16828245017656,-1.3661588475692,-1.3661588475692,-1.27985422583367,-1.27985422583367,-1.3661588475692,-1.16828245017656,-1.31383403319275,"09/2001"
-1.3421131789144,-1.3421131789144,-1.3421131789144,-1.3421131789144,-1.2636544318821,-1.16222554492109,-1.2945451658449,-1.2945451658449,-1.09005965871078,-1.2945451658449,-1.3421131789144,-1.2636544318821,-1.16222554492109,-1.12095039267358,-1.16851840574309,-1.12095039267358,-1.16851840574309,-1.12095039267358,-1.16851840574309,-1.2945451658449,-1.2636544318821,-1.3421131789144,-1.3730039128772,-0.934769897858279,-1.09005965871078,-1.2636544318821,-1.2406842919534,-1.2945451658449,-1.2406842919534,-1.2945451658449,-1.3730039128772,-1.2406842919534,-1.2945451658449,-1.2636544318821,"10/2001"
