Date,SPX ,UKX   ,CAC  ,DAX  ,IBEX   ,NKY  ,HSI  ,SHSZ300  ,KOSPI  ,SPTSX  ,AS51  ,LC07TRUU ,LUATTRUU,LUACTRUU,LUMSTRUU,LP06TREU ,LBEATREU,LAPCTRJU ,LG30TRUU ,EMUSTRUU ,LF98TRUU ,LP01TREU
08-04-2014,0.00374358,-0.004866234,-0.002539244,-0.002111397,-0.011922348,-0.013732324,0.009775478,0.023443237,0.00167222,0.007130623,-0.000571859,0.000631054,0.000588596,0.000682682,0.00073386,-0.000411614,-0.001141052,-0.001369314,0.001266537,0.001070196,-0.000012246,0.000773608
09-04-2014,0.01085899,0.006792553,0.004025938,0.001638142,0.000448351,-0.021254792,0.01083634,0.000580884,0.002965949,0.004382813,0.009774772,0.000495388,0.000460825,0.000224781,0.000416846,-0.000630581,-0.000394269,0.000510271,0.001276885,0.001621741,0.000483617,0.000191813
10-04-2014,-0.021105915,0.000958006,-0.006592038,-0.005464947,-0.014322117,0.00003007,0.014937885,0.015575244,0.004820898,-0.008877171,0.003101827,0.002961648,0.002809376,0.004301237,0.003144483,0.002412033,0.002467982,0.000378186,0.001980581,0.00270065,0.000856468,0.000487083
11-04-2014,-0.009532051,-0.012158891,-0.010850568,-0.014837913,-0.01272563,-0.02406825,-0.007937587,-0.001359907,-0.00557658,-0.003522411,-0.00955202,0.00023898,0.000684018,0.000671149,-0.000168298,-0.000512114,-0.000022207,0.000594521,-0.00104732,-0.000383304,-0.0012911,-0.000812146
14-04-2014,0.008183684,0.003356295,0.004274087,0.002560247,-0.001686804,-0.003580171,0.001527287,-0.000907633,-0.000210291,0.001873723,-0.012922429,-0.000822117,-0.000796437,-0.000823019,-0.001236806,0.000917577,0.000280496,0.000492873,-0.0008641,-0.001288501,0.000752835,0.0009733
15-04-2014,0.006734582,-0.006422698,-0.008982971,-0.017875599,-0.008348289,0.006209938,-0.016081708,-0.017407905,-0.002381377,0.001363493,0.005435895,0.000324417,0.000215052,0.001106524,-0.000010533,0.002266676,0.00276585,-0.000990334,0.000240756,0.000130499,0.000085653,0.000238536
16-04-2014,0.010433826,0.006484971,0.01378377,0.015586911,0.016140625,0.029625785,0.001091095,0.001376068,-0.000030117,0.00991993,0.005950534,-0.000412409,-0.000591503,-0.000099817,-0.000500425,0.000362133,-0.000084496,0.001548774,-0.000110143,-0.000625819,0.000152933,0.000614016
17-04-2014,0.001362968,0.006219824,0.005918001,0.009813439,0.002383235,-0.000010404,0.002826016,-0.003468448,-0.000080316,0.003721991,0.006237155,-0.002801333,-0.00311973,-0.004125136,-0.003018392,-0.00143702,-0.00122531,-0.000080275,0.00048302,-0.000368266,-0.000171286,-0.000196243
18-04-2014,0.000005362,0,0,0.000001063,0.000000972,0.006825262,0.000000439,-0.000143843,0.006120635,0.00000069,0,0,,,,,,0.000236466,0,,,
21-04-2014,0.003762632,0,0,0.000001063,0.000000972,-0.000268011,0.000000439,-0.016878133,-0.00252779,-0.000463543,0,0.00013616,,,,,,0.000159782,0.001007728,,,
22-04-2014,0.004083771,0.008493319,0.011754259,0.020028213,0.01402613,-0.008554037,-0.001300479,0.004352157,0.002497853,0.004288526,0.00458718,0.000220039,-0.00004905,0.000613206,0.000369985,,,0.000073014,-0.000206165,0.000190931,0.000330124,
23-04-2014,-0.002215749,-0.001051174,-0.007415574,-0.005839881,-0.00128462,0.010886562,-0.009771892,-0.00096551,-0.001922794,-0.001552458,0.006994618,0.00186961,0.001671245,0.002632907,0.002427929,0.000325713,0.000791695,-0.001389627,0.000655946,0.000632041,0.000311684,-0.000059983
24-04-2014,0.001715504,0.004224935,0.006373599,0.000470333,0.003600433,-0.009759929,0.002358871,-0.001915561,-0.001015328,0.001434286,0.002396105,0.000175668,0.000048968,0.000271699,0.000416378,-0.000246489,-0.000449153,-0.000157821,0.000097555,-0.000657526,0.000525364,0.00081057
25-04-2014,-0.008129366,-0.002585766,-0.008048753,-0.015528356,-0.015003989,0.001683415,-0.015150895,-0.010389465,-0.013441008,-0.001421901,0,0.000824158,0.000856552,0.001209762,0.001311248,0.001689274,0.001605258,-0.000582993,-0.000398683,-0.001235913,-0.000097721,0.000263561
28-04-2014,0.003230796,0.002161985,0.003795983,0.004754913,0.00142531,-0.009821968,-0.004103166,-0.015274072,-0.00121799,-0.000183041,0.000916231,-0.000265142,-0.000220186,-0.000558784,-0.000331599,-0.000893446,-0.000708961,0.001545456,0.000443212,-0.000360851,0.000378617,0.000290464
29-04-2014,0.004749513,0.010356386,0.008294115,0.01447808,0.013483091,0.0000007,0.014415401,0.010947042,-0.002282648,0.003585905,-0.008981023,-0.00070041,-0.000949803,-0.001354351,-0.000800501,0.000703815,0.000235473,0.000262526,0.000683404,0.00137003,0.00033575,0.001110888
30-04-2014,0.002987552,0.001493734,-0.002290467,0.001991938,-0.000191205,0.001110087,-0.014350341,0.000088021,-0.001517868,0.004703963,0.000455189,0.002198674,0.002177334,0.002742752,0.00267811,0.00163279,0.001876374,-0.001133769,0.001423995,0.001229354,0.000780945,0.000596311
01-05-2014,-0.000143326,0.004244647,0.000000223,0.000001041,0.000000956,0.012575697,0.000000452,0.000004632,0.000005097,0.000832312,-0.007370961,0.002029759,0.001782371,0.003295709,0.002204448,0.000611487,0.000086149,0.000493604,0.000430371,0.001493261,0.00039634,0.000292701
02-05-2014,-0.001349334,0.001988074,-0.006533096,-0.004929219,0.001479924,-0.001908603,0.00570746,0.000004632,-0.001203701,0.00686939,0.001704255,0.000532023,0.000190257,0.001389854,0.00033549,0.000877103,0.001476462,0.000617747,0.000401278,0.0011473,0.000408371,0.000336735
05-05-2014,0.001869457,0,0.001013355,-0.002779072,0.000238646,0.000000692,-0.012855479,-0.001024298,0.000005103,-0.004624242,0.000762984,-0.000633188,-0.000722194,-0.001640233,-0.000256849,,,0.000179321,0.00019225,-0.000149386,0.000402113,
06-05-2014,-0.009028998,-0.003503423,-0.0077879,-0.006524201,0.000419879,0.000000692,0.000000455,0.00039872,0.000005103,-0.005782477,0.003500132,0.000979137,0.000644144,0.00144577,0.001257407,,,-0.00010918,0.001861879,0.001287872,0.000523723,
07-05-2014,0.00560076,-0.000311879,0.004139953,0.005663345,-0.006470408,-0.029771621,-0.010524631,-0.009318638,-0.01004281,0.003014145,-0.008354429,0.000783354,0.00045358,-0.000404923,0.001862247,-0.000563519,-0.000695685,0.001292761,0.000650633,0.00231347,0.000529534,0.000257133
08-05-2014,-0.001374593,0.006279131,0.013581217,0.009002241,0.016891618,0.009244236,0.004169485,-0.000851896,0.005510902,-0.007558996,0.007514689,0.000723211,0.000726275,0.00069462,0.000078389,0.003114717,0.002595658,-0.000027442,0.000469339,0.002795165,0.000851535,0.001891315
09-05-2014,0.001518336,-0.003615109,-0.006669274,-0.002704697,-0.009868002,0.002525089,0.001183979,-0.000744834,0.003045701,-0.000823244,-0.002913617,-0.000971948,-0.000916461,-0.001707644,-0.001678875,-0.00041555,-0.000354088,-0.000294688,-0.001076476,0.001392521,0.000243163,0.000814099
12-05-2014,0.009626233,0.005441127,0.00364957,0.012550524,0.007580472,-0.00353239,0.018068417,0.021391835,0.004278992,0.00828262,-0.002273295,-0.000944091,-0.001224883,-0.001296579,-0.00114702,-0.000582353,-0.000504388,0.000325741,0.000923944,-0.000457857,0.001014565,0.001201547
13-05-2014,0.000421707,0.003108238,0.002527041,0.005342079,0.001909787,0.019312613,0.004069133,-0.002388116,0.009113838,0.0016956,0.009090164,0.001619558,0.001751463,0.00216665,0.001314511,0.002882553,0.002156923,0.000260661,0.000034656,0.001827544,0.000783002,0.00148911
14-05-2014,-0.004712131,0.000786819,-0.000883849,-0.000004101,0.002518739,-0.001365188,0.010254423,-0.001140959,0.013972023,-0.00041426,-0.000308695,0.003325381,0.003153671,0.004754122,0.003797648,0.002213728,0.00227495,-0.000303269,0.00060799,0.002597576,0.000715698,-0.000542029
15-05-2014,-0.009405876,-0.005481311,-0.01254436,-0.010132778,-0.023729717,-0.007493772,0.006536246,-0.013108182,-0.000313353,-0.00579854,0.002606082,0.00121131,0.001563411,0.002230597,0.000344053,0.000915113,0.000017459,0.000362467,-0.000269664,0.001605302,-0.000466965,-0.000787149
16-05-2014,0.003739958,0.002178628,0.002550216,-0.002794898,0.01090988,-0.01420143,-0.000789987,0.000871789,0.001610482,-0.005095595,-0.005786247,-0.000870297,-0.000577498,-0.001246942,-0.001314294,-0.000517959,-0.000664101,0.000463363,-0.000405126,-0.001040394,0.000072788,-0.001031291
19-05-2014,0.00383743,-0.001643753,0.003020379,0.003140736,-0.005089897,-0.0064157,-0.000370343,-0.014461341,0.00084397,0.000000689,-0.012871022,-0.00036073,-0.000441841,-0.001058753,-0.000464588,-0.001327705,-0.00116223,-0.000129893,0.000889482,0.000912256,0.000630609,-0.000027408
20-05-2014,-0.006519604,-0.006236029,-0.003902669,-0.002104831,0.002710821,0.004900712,0.00571729,0.000297808,-0.001927281,0.00071901,0.002101332,0.001317913,0.001135768,0.001386423,0.002148867,-0.001670157,-0.002288513,-0.000833882,0.000069521,0.000310074,0.000430283,-0.000007786
21-05-2014,0.008083302,0.002795266,0.003739336,0.006080605,0.007395722,-0.002352991,0.000080576,0.009473973,-0.00145786,0.008546396,0.000776954,-0.000985021,-0.001271758,-0.002584798,0.000156291,0.000391853,0.000023824,0.000106891,-0.000742101,-0.000187819,-0.000333302,-0.000537409
22-05-2014,0.002359465,-0.000070373,0.00205203,0.002372962,-0.001026031,0.020833764,0.005120749,-0.002362438,0.003608426,0.003572485,0.010154796,-0.000641293,-0.000933004,-0.001100764,-0.000291762,0.000410696,0.00065515,-0.000085945,0.000042459,0.00042494,-0.000218221,0.000273569
23-05-2014,0.004239372,-0.000705469,0.003330602,0.004833525,0.003633866,0.008637566,0.000527008,0.008197687,0.000783582,0.000395098,0.002343085,0.001002715,0.001102989,0.001868205,0.000276134,0.0012267,0.001142115,0.000585583,-0.000120649,0.001663491,-0.000018187,0.000512663
26-05-2014,0.000005262,0,0.007489991,0.012696481,0.012105728,0.009657842,-0.000116702,0.003517343,-0.003386703,0.000515909,0.003642689,0,,,,,,0.000315394,0,,,
27-05-2014,0.005964686,0.004273583,0.000622745,0.004840271,0.00249513,0.002325659,-0.000822524,-0.004043452,-0.006347358,-0.003926646,-0.000204816,0.001268312,,,,,,0.000103185,0.00125668,,,
28-05-2014,-0.00111469,0.000917045,0.000414948,-0.000165996,0.004005333,0.002349573,0.005898202,0.010225659,0.009679528,-0.003215694,0.002804814,0.003408828,0.00324074,0.005019132,0.00355242,0.002269126,0.002534775,0.000068544,0.000700102,0.00336289,0.000641705,-0.00003945
29-05-2014,0.005352759,0.002925123,-0.000247182,-0.000027166,-0.002084497,0.000733834,-0.003032753,-0.006562617,-0.002382537,-0.001507539,-0.001396079,-0.000584257,-0.000657955,-0.001072567,-0.001540948,-0.000376861,-0.000769046,0.001070115,0.00132948,0.003043822,0.000562666,0.000181395
30-05-2014,0.001842024,-0.00390499,-0.002417659,0.00043959,0.005934956,-0.003366301,0.003102941,0.000603022,-0.008634469,0.001042027,-0.004890484,-0.000241771,-0.000508276,-0.000558347,0.000072691,-0.000762392,-0.000508261,0.000226279,0.001168193,-0.000125626,0.000876644,0.000233839
02-06-2014,0.000727549,0.00285806,-0.000814568,0.000688671,0.002654202,0.020532169,0.000000433,0.000004637,0.003522681,0.005231373,0.004707298,-0.002784267,-0.003123093,-0.004414827,-0.002776379,-0.000137224,0.000121952,-0.000497305,-0.00001573,-0.000794017,0.000579976,0.000578307
