"america","europe","asia","commodities","bonds","date"
0.357593047804671,0.233997041300171,0.47121639689847,0.247577063355939,0.0513372994758862,"01/2001"
0.529462438498727,0.32968451306007,0.397302794307036,0.342048109206258,0.27549210784195,"02/2001"
0.327547582753484,0.153166075432102,0.445040016057638,0.435367548970681,0.212143696245672,"03/2001"
0.381322311549719,0.169590468486183,0.559637594145068,0.465352840265408,0.380384234804934,"04/2001"
0.487634930841726,0.205314280657708,0.550915042425514,0.325560702450019,0.0819144067445361,"05/2001"
0.444596456595945,0.294898580158015,0.441778340367476,0.199180975548032,0.406461972102777,"06/2001"
0.26669804662775,0.303680367554471,0.571995622619723,0.285535512253694,0.11824805361305,"07/2001"
0.313574238379702,0.263439581595972,0.680602563526067,0.498034212902468,0.0786570584120935,"08/2001"
0.317852376719912,0.301230082880898,0.455647199877312,0.43413527752593,0.210568404547133,"09/2001"
0.389823070749921,0.205078392211566,0.500235781923143,0.457377367897788,0.337922930267804,"10/2001"
0.305686014814202,0.1597492507695,0.484763799806971,0.445311021583522,0.204302895546069,"11/2001"
0.384069017926555,0.273733307680363,0.467375004735798,0.485215422257085,0.0626817389334206,"12/2001"
0.466016295966698,0.185412132119079,0.420096959488868,0.267993716448183,0.0574358657122885,"01/2002"
0.390584060680843,0.212284157596104,0.486621276297623,0.24026634698716,0.123394927661996,"02/2002"
0.432338960714279,0.185174818951188,0.524847197625599,0.344544372289372,0.0682164435683012,"03/2002"
0.613910463548244,0.208606206065937,0.495568085113867,0.267778217230122,0.252040085093079,"04/2002"
0.322004365733349,0.182052873551633,0.490204238580989,0.454114498424522,0.0463041797608023,"05/2002"
0.385844511718059,0.144616099539666,0.355531531386647,0.527846922565435,0.377405996753234,"06/2002"
0.309097852820416,0.160103037186252,0.248533111200179,0.482472887016955,0.0586031445165028,"07/2002"
0.204095093222501,0.343933825595598,0.318662159075883,0.370268065445916,0.416555580208846,"08/2002"
0.387998884537829,0.128644378192147,0.294774327053844,0.513347390115423,0.364802988101193,"09/2002"
0.225949491105658,0.315905003731458,0.619950562596207,0.532253419024713,0.0576788412349454,"10/2002"
0.361487897136693,0.15688410345758,0.439162420581366,0.364924319604897,0.295599760247643,"11/2002"
0.357201236607618,0.246798605022269,0.557284555777557,0.406368233063013,0.374324500242435,"12/2002"
0.295888617480935,0.228865317803628,0.591305911027521,0.282621760611241,0.489960396673093,"01/2003"
0.459771278629044,0.162613934520449,0.275878781891857,0.529885489316248,0.0835251224825709,"02/2003"
0.269024809914771,0.173678133323949,0.271505557435736,0.462845558958999,0.0450904996559341,"03/2003"
0.445542443801051,0.213020997472231,0.304125832548512,0.439004209356731,0.0510970097974637,"04/2003"
0.226162897892862,0.45696844743272,0.272001396572431,0.574671338165977,0.0448908578210179,"05/2003"
0.442334561883883,0.230711073678681,0.357013972647524,0.428759767630561,0.0410379410953665,"06/2003"
0.268789852785771,0.25819426364024,0.53439162565423,0.486226349947026,0.0461689564966517,"07/2003"
0.423445176313773,0.292700228715993,0.491578683456907,0.331829157468889,0.189099821416592,"08/2003"
0.606403379677361,0.244810400212547,0.339924333699959,0.403305778319324,0.0579207733411278,"09/2003"
0.436016567831169,0.328839499316071,0.410391296224899,0.469388418892508,0.0559117153772178,"10/2003"
0.41099107435882,0.164687276726765,0.293744791800374,0.134982382636476,0.0426179794330969,"11/2003"
0.337794089670736,0.212251146728571,0.351857855099191,0.259057802523375,0.058326450821726,"12/2003"
0.43815596702877,0.295056036689147,0.708693987579292,0.395893713905324,0.0342656355299314,"01/2004"
0.362858236124454,0.305720115535156,0.558568703013988,0.425747153488106,0.0407909207229355,"02/2004"
0.407554585601661,0.222032242595642,0.405033086409304,0.515372499963745,0.0376324645446383,"03/2004"
0.257730167145947,0.181382627049632,0.386956131366747,0.168655238128291,0.0344690485633837,"04/2004"
0.437149474573444,0.356887385930572,0.482664601446065,0.383211056888901,0.0484467897461729,"05/2004"
0.390135883576544,0.37238737936962,0.49170107480512,0.29974528362015,0.0390976403887675,"06/2004"
0.469241307992464,0.165162620139873,0.45104620076861,0.414470905757562,0.0287494079432182,"07/2004"
0.315683285386897,0.251312275646111,0.402597279202023,0.583991654136298,0.0228116312337755,"08/2004"
0.352315393213162,0.21237532604488,0.55749560227838,0.419171020210222,0.0343995589638077,"09/2004"
0.301981847544193,0.145138484353595,0.264245984699713,0.22616245750864,0.0581608180776269,"10/2004"
0.565794462088159,0.24136739034481,0.629137097027644,0.53842636830022,0.0477473345737086,"11/2004"
0.473474261623753,0.318909194796604,0.714701069884876,0.424059887985045,0.0304852332720752,"12/2004"
0.464260592327731,0.179279661443663,0.493935332863639,0.34294209896625,0.0383065850043578,"01/2005"
0.609233703546335,0.273429159489882,0.546404803509519,0.100417570422673,0.0535933408030794,"02/2005"
0.511510846343247,0.167658978594065,0.27554658164242,0.167334276133148,0.0428531764382405,"03/2005"
0.273111958802875,0.316849737951911,0.287734307970821,0.46464162008573,0.141510581050574,"04/2005"
0.487183700628695,0.423548339899188,0.624849108756415,0.336164517413505,0.0500176309417787,"05/2005"
0.289889362271422,0.295214611471743,0.416285267724741,0.254252720915676,0.0517207106516696,"06/2005"
0.396820303711456,0.162293447440914,0.489051389901561,0.576353709829623,0.0416431204202344,"07/2005"
0.355161929695311,0.364029973458349,0.37893455159255,0.345844459927737,0.0371648646110138,"08/2005"
0.509242073023641,0.296982245352451,0.561299244105358,0.263509334104212,0.0365343671079632,"09/2005"
0.209910953943131,0.152162150776166,0.346481202641617,0.14335343040293,0.0612565023187918,"10/2005"
