Date,SPX,LGTRTRUU ,LGDRTRUU ,LG30TRUU ,CCMP,SPTSX,MEXBOL,IBOV,IPSA,MERVAL,IGBVL,FTSE 100,CAC 40,DAX ,IBEX ,FTSEMIB ,AEX ,OMX,RTS,SMI,NKY ,HSI,KOSPI ,TWSE ,JCI ,FBMKLCI ,ASX,NZSE,STI ,CL1 ,HG1 ,GOLD,S1 
4/27/01,0.008068857,-0.004549463,-0.001694237,0.007148719,-0.041396872,-0.016444238,0.009572924,0.08610081,0.017718237,0.067188757,-0.026542367,0.012103755,0.022971865,0.007684211,0.009081446,0.004408021,0.030384988,0.024873558,0.060338752,0.001297681,0.01217705,-0.00462769,0.000611005,-0.032683395,0.025069715,0.017563342,-0.002914648,-0.006603602,0.013398513,0.035647339,-0.020861252,-0.003785732,-0.015258512
5/4/01,0.010763461,0.018570124,0.015706784,0.00765588,0.054311167,0.00179823,0.020017904,0.010979864,0.021596968,-0.015881183,0.019806241,-0.013720763,-0.021832927,-0.006003176,-0.009584321,-0.005997688,-0.022956189,0.01583089,0.018552421,0.015998357,0.034374995,0.00036972,0.050736216,-0.032387135,0.066026837,-0.015272987,0.014043996,-0.015357208,0.010285232,0.00317853,0.020861252,0.009437594,0.050169067
5/11/01,-0.016670502,-0.013026074,-0.013232371,-0.002662545,-0.039130782,0.005247008,-0.003129121,-0.040535585,0.027777667,-0.053046519,0.029989426,0.004504091,0.020267813,0.00044628,0.014750205,-0.001641996,0.021555759,-0.010660769,0.049217993,0.020585998,-0.026540294,0.018175995,-0.004346866,-0.002162881,-0.013940114,-0.0104007,0.014428558,0.013339315,-0.008008982,0.006677234,-0.025483248,0.007113471,0.012297528
5/18/01,0.036486907,-0.009032286,0.000304786,0.007797558,0.042478946,0.030305089,0.06605365,0.026611268,0.006722171,0.020343365,0.033588288,0.0030817,0.01267078,0.007438452,0.004522773,-0.002967398,0.013067257,0.031890718,0.038968642,0.018370471,-0.011901283,-0.013096687,0.029539153,-0.023405058,0.017231121,-0.023674778,0.004422536,-0.001145283,-0.021690414,0.046535937,0.032554958,0.070223228,-0.001111729
5/25/01,-0.010950165,-0.002613111,-0.00272136,0.001268085,0.023439795,0.00269148,0.027759292,-0.039328055,0.011533231,0.029192432,0.026683255,-0.00426949,-0.010035627,0.005914393,-0.027089504,0.001896161,-0.017534723,0.011678074,-0.00561913,0.001787295,-0.008092307,0.021667563,0.038497384,0.011362001,0.03476071,0.010808217,0.006442377,-0.016762561,0.006438844,-0.052508201,0.007022052,-0.03503543,-0.005018132
6/1/01,-0.013566955,0.006555525,0.007288734,0.002428735,-0.046180593,-0.005065359,-0.013754624,0.03312168,0.021797789,-0.011249021,-0.003382368,-0.013710268,-0.02709828,-0.015937186,-0.007314081,-0.034796704,-0.016605343,-0.041636867,0.055456359,-0.019134164,-0.037305234,-0.045562933,-0.027682529,-0.03066214,0.016246712,0.013286773,-0.010131083,-0.017913322,-0.020071054,-0.015983292,-0.044220468,-0.038925421,0.017179697
6/8/01,0.003397175,-0.005547276,-0.00225902,0.011459482,0.030090298,-0.014966722,0.024481615,0.03808908,-0.009438499,0.035170442,0.057308985,0.023980333,0.001328141,0.010077747,0.021877369,0.011215167,0.014941872,-0.010269878,-0.00875135,0.002799519,0.012616653,0.049546557,0.023942227,0.041473722,0.005776271,0.007759614,0.012568997,0.028753425,0.037207627,0.014219934,-0.029007093,0.024779374,0.024960601
6/15/01,-0.040823312,0.005747289,0.006159555,-0.005692372,-0.08803545,-0.039177261,-0.016797824,-0.025123178,0.010411767,-0.029632797,-0.025607344,-0.038998928,-0.036712214,-0.04496233,-0.025725434,-0.044754576,-0.053957747,-0.045921088,-0.006067232,-0.029499698,-0.048814066,-0.052509536,-0.004545682,-0.013028704,0.045945416,0.023534941,-0.005474439,-0.010428903,-0.005922642,0.006333589,-0.015172705,-0.008068997,-0.017297729
6/22/01,0.009009328,-0.004713933,0.000260194,-0.0119029,0.003155048,-0.009825391,-0.019844153,-0.020421303,-0.020818086,-0.052829391,-0.017082109,-0.010062656,-0.011540736,0.004485141,-0.047919056,-0.022673648,0.010381272,-0.025253926,0.080097565,-0.023052354,0.019681696,0.005443657,-0.032645505,-0.050550513,0.046860789,-0.002599147,0.003695929,-0.00530374,9.56126E-05,-0.060734238,-0.006973529,0.003859235,-0.008762378
6/29/01,-0.000759255,-0.009835913,-0.010003632,-0.00729894,0.060264939,-0.000427759,0.019161835,-0.008365445,-0.010773842,-0.03281789,-0.000549218,-0.004103258,0.008004693,0.019435369,-0.005257376,0.018555114,0.017519621,0.039876129,-0.052987754,0.010971265,-0.005809272,-0.010031152,-0.006615276,-0.004272686,5.71288E-05,0.00863768,0.017918279,0.016274964,-0.001794259,-0.021854675,-0.014094666,-0.006440357,0.059783007
