Dates,SPX ,CCMP ,SPTSX ,MEXBOL ,IBOV ,IPSA ,MERVAL ,SPBLPGPT ,IGBC,UKX ,CAC ,DAX ,IBEX ,FTSEMIB ,AEX ,OMX ,RTSI$ ,SMI ,NKY ,HSI ,KOSPI ,TWSE ,JCI ,FBMKLCI ,STI ,ASX ,NZSE 
01-26-01,-0.001887586,0.009762379,-0.002747854,0.021677054,0.006578657,-0.002154755,-0.003800913,-0.007685394,NA,0.006167399,-0.001527786,-0.004811265,-0.004143987,-0.00409154,-0.005627778,-0.043401258,0.01203411,0.007915444,-0.007805289,0,-0.058613537,0,-0.000820225,0.005637768,-0.002474908,0.004549255,-9.96846E-05
01-29-01,0.006781632,0.02030093,0.015601278,0.000177592,-0.000318681,-0.002629076,0.009663925,-0.004078799,NA,0.00359995,-0.006385925,0.008293865,-0.013992244,-0.003388731,0.007276998,0.006185759,-0.032841995,-0.000522434,0.01083618,0.003460055,0.008095847,-0.029122536,-0.009004206,0.006690293,0.012605805,0.003235432,-0.000227888
01-30-01,0.006983483,3.52318E-06,0.004954274,0.015272712,-0.009032247,0.003150529,0.002279171,0.007402239,NA,0.002766472,0.004955516,-0.001728655,0.008636056,0.006721359,-0.003616129,0.011150564,0.002999195,0.001231014,-0.001346491,-0.012924927,-0.008755149,0.019602181,0.007892712,0.003923613,0.009984428,0.002824494,0.007549562
01-31-01,-0.005635586,-0.023390503,-0.002841953,-0.00333296,-0.002813927,0.005885013,0.002442921,0.006863832,NA,-0.005858155,0.013652857,0.008251589,0.007919772,0.006299339,0.00798517,0.018570038,-0.000633695,0.001279146,0.001221531,0.013082059,0.043951668,0.024505221,0.022066627,0.006949739,0.015040184,-0.005102388,0.007773592
02-01-01,0.005446303,0.003621627,-0.003672308,0.006748112,-0.036539507,-0.00316726,-0.009049836,0.016756621,NA,-0.007283307,-0.016602879,-0.013401861,0.000691734,-0.010887375,-0.009324882,-0.012790651,-0.018612763,-0.010404675,-0.004633811,0.003820704,-0.009120457,-0.006467756,0.011602627,0,-0.006107521,-0.006014653,0.004800065
02-02-01,-0.017628462,-0.044939947,-0.00687132,-0.002855371,-0.007286425,-0.003884769,-0.019526529,0.006154808,NA,0.000735518,-0.012510727,-0.009964948,-0.027490903,-0.010780438,-0.004837878,-0.01212669,0.002989714,0.004192354,-0.005524848,-0.005751478,-0.006258314,0.025334509,0.048500259,0.011761868,-0.006105285,0.000842972,-0.002208247
02-05-01,0.003580177,-0.006519987,0.008850475,0,-0.010925562,-0.005499734,-0.013924497,0.00491798,NA,0.002043815,-0.000494427,-0.001527182,-0.000182786,-0.008791165,-0.001348019,-0.017063294,-0.032542058,0.005094711,-0.023487236,-0.015074514,-0.049385266,-0.019503726,0.015309911,-0.005884133,-0.011247194,0.00142546,-0.011228168
02-06-01,-0.001514833,0.008018582,-0.000505173,-0.011585925,0.016338024,-0.00523503,0.004221147,0.008183438,NA,0.00385271,0.004943552,0.009753026,0.008907371,0.000571723,0.003058179,0.010731087,0.020766133,0.001688351,-0.008678981,0.005191531,0.012730283,-0.01415126,-0.019453632,0.001078624,-0.001524333,0.003835324,0
02-07-01,-0.008443694,-0.021498046,-0.017767158,-0.015120488,-0.011502503,-0.010760863,-0.017448879,-0.008472063,NA,-0.010831642,-0.01727133,-0.017190008,-0.005460385,-0.013835555,-0.011328681,-0.017210358,-0.013355791,-0.00482432,0.007220373,0.00852436,-0.017871594,-0.02694174,-0.012917716,-0.005075563,0.000558689,-0.009189645,-0.000665256
02-08-01,-0.006254182,-0.017703001,-0.006246487,-0.003056467,0.025312901,0.001742892,0.011699039,0.003359589,NA,-0.003137144,0.003699595,0.008754748,0.014079573,0.001019439,0.003258997,-0.011004238,0.022552885,-0.010575214,-0.017188616,-0.008765698,0.026342552,0.011355165,-0.008037471,-0.012740257,0.021819735,-0.002087036,0.007673033
02-09-01,-0.013425251,-0.036200836,-0.013648948,0.002081242,-0.006102102,0.000667454,-0.010628015,0.007234355,NA,-0.006758093,-0.010639306,-0.02128012,-0.008468215,-0.014790546,-0.006930079,-0.031609934,-0.010204471,-0.002358298,0.021430688,-0.002272937,0.00657099,0.008858642,-0.029614569,0.006838911,-0.005558971,-0.006294088,0.005031581
02-12-01,0.011757858,0.007535369,0.004711132,0.013553357,-0.012996615,-0.007303035,0.004608166,-0.006212792,NA,0.01242993,0.008214945,0.010387493,0.015994111,0.015137845,0.001925392,0.008401887,0.002368687,-0.003718981,0,-0.01141543,0.006244423,0.006387649,-0.008092688,0.001061783,0.008955144,0.010473784,0.005437524
02-13-01,-0.008689766,-0.02519361,-0.006443005,-0.010852159,0.010507875,0.00361746,-0.011810028,-0.005361577,NA,-0.002068983,-0.003556986,-0.001063794,-0.004198371,-0.003269379,0.004462258,-0.00165127,0.046119348,0.00138042,-0.011097021,0.009488326,-0.00070118,0.030389991,0.004013468,-0.008915281,3.92515E-05,-0.001653138,-0.003579865
02-14-01,-0.002186191,0.025892256,-0.003427883,-0.000193375,0.001420393,-0.006100126,-0.011890555,0.002536492,NA,-0.008432338,-0.016656422,-0.011974556,-0.029728795,-0.014221464,-0.008606443,-0.032549943,0.008772479,-0.01125066,0.000704852,0.001116609,0.00839845,-0.02346864,-0.006965059,-0.006417075,-0.01112049,-0.007860583,-0.018079907
02-15-01,0.008090775,0.024389084,0.00624205,0.005503617,-0.010740826,0.005665635,-0.001678447,0.001712667,NA,0.003507329,0.010626812,0.017106282,0.010761887,0.007673842,0.005633818,0.032442369,0.044512617,0.006709637,0.003256496,-0.00658197,-0.000331274,0.03612158,0.039403455,-0.004502522,0.000466244,0.00304194,-0.005685517
02-16-01,-0.019086321,-0.051245672,-0.066162773,-0.004183752,-0.040865785,-0.005374307,-0.022390522,0.003771151,NA,-0.017841628,-0.01936402,-0.023393104,-0.007713167,-0.021742042,-0.01108914,-0.031896986,-0.0361495,-0.013877021,-0.011463031,-0.00803275,0.00213479,-0.009641298,-0.018672975,0.004670448,-0.000987306,-0.015690378,0.000942696
02-19-01,0,0,0.007891858,0.000160151,-0.012265081,0.00126447,0.004357665,-0.007548977,NA,0.000935784,-0.001856908,0.005104,0.007307623,0.001504029,-0.008875798,0.003326448,-0.015724562,0.001481358,-0.004251752,-0.00895535,-0.013732021,-0.018087829,0.007057078,-0.004670448,-0.011999695,0.000675966,0.001711719
