"","block","qt"
"1",1,-0.0212121212121212
"2",2,-0.0946969696969697
"3",3,-0.109090909090909
"4",4,-0.153787878787879
"5",5,-0.114393939393939
"6",6,-0.0772727272727273
"7",7,-0.075
"8",8,-0.05
"9",9,-0.0106060606060606
"10",10,0.0189393939393939
"11",11,0.0651515151515152
"12",12,0.0803030303030303
"13",13,0.0696969696969697
"14",14,0.0492424242424242
"15",15,0.0166666666666667
"16",16,-0.0295454545454545
"17",17,-0.021969696969697
"18",18,-0.0712121212121212
"19",19,-0.13030303030303
"20",20,-0.0992424242424242
"21",21,-0.0621212121212121
"22",22,-0.071969696969697
"23",23,-0.0204545454545455
"24",24,-0.0257575757575758
"25",25,-0.0265151515151515
"26",26,-0.0272727272727273
"27",27,-0.0643939393939394
"28",28,-0.0727272727272727
"29",29,-0.153030303030303
"30",30,-0.137878787878788
"31",31,-0.132575757575758
"32",32,-0.0871212121212121
"33",33,-0.0840909090909091
"34",34,-0.0477272727272727
"35",35,0.0409090909090909
"36",36,0.0765151515151515
"37",37,0.110606060606061
"38",38,0.121212121212121
"39",39,0.141666666666667
"40",40,0.0916666666666667
"41",41,0.0704545454545455
"42",42,0.100757575757576
"43",43,0.107575757575758
"44",44,0.078030303030303
"45",45,0.0606060606060606
"46",46,0.0689393939393939
"47",47,0.0386363636363636
"48",48,0.0181818181818182
"49",49,0.0537878787878788
"50",50,-0.00454545454545455
"51",51,-0.00833333333333333
"52",52,0.0454545454545455
"53",53,0.0484848484848485
"54",54,0.0348484848484849
"55",55,0.05
"56",56,0.0568181818181818
"57",57,0.0606060606060606
"58",58,0.118181818181818
"59",59,0.0431818181818182
"60",60,-0.0113636363636364
"61",61,-0.0181818181818182
"62",62,0.00151515151515151
"63",63,-0.0295454545454545
"64",64,-0.025
"65",65,-0.0772727272727273
"66",66,-0.125
"67",67,-0.138636363636364
"68",68,-0.127272727272727
"69",69,-0.102272727272727
"70",70,-0.165909090909091
"71",71,-0.181060606060606
"72",72,-0.173484848484848
"73",73,-0.168939393939394
"74",74,-0.112121212121212
"75",75,-0.0363636363636364
"76",76,-0.0333333333333333
"77",77,-0.0651515151515152
"78",78,-0.0477272727272727
"79",79,-0.028030303030303
"80",80,-0.0659090909090909
"81",81,-0.0568181818181818
"82",82,-0.103787878787879
"83",83,-0.14469696969697
"84",84,-0.126515151515152
"85",85,-0.0901515151515151
"86",86,-0.0446969696969697
"87",87,-0.0568181818181818
"88",88,0.0204545454545455
"89",89,0.0606060606060606
"90",90,0.0984848484848485
"91",91,0.0734848484848485
"92",92,0.0492424242424242
"93",93,0.0621212121212121
"94",94,0.0348484848484849
"95",95,0.0681818181818182
"96",96,0.0833333333333333
"97",97,0.0212121212121212
"98",98,-0.0174242424242424
"99",99,0.0287878787878788
"100",100,-0.00151515151515152
"101",101,-0.0143939393939394
"102",102,-0.0295454545454545
"103",103,-0.0371212121212121
"104",104,-0.128787878787879
"105",105,-0.0537878787878788
"106",106,-0.0265151515151515
"107",107,-0.0272727272727273
"108",108,0.0227272727272727
"109",109,0.0515151515151515
"110",110,0.0803030303030303
"111",111,0.0916666666666667
"112",112,0.163636363636364
"113",113,0.165909090909091
"114",114,0.154545454545455
"115",115,0.203030303030303
"116",116,0.21969696969697
"117",117,0.225757575757576
"118",118,0.234848484848485
"119",119,0.191666666666667
"120",120,0.191666666666667
"121",121,0.15530303030303
"122",122,0.146212121212121
"123",123,0.112121212121212
