"","bloack","america","europe","asia","oceania","commodities","bonds","all_indices"
"1",1,3.85875968094845,4.44928513492591,4.10823816779251,0.746623290295429,2.70124228952013,1.75639659950568,19.7569299460102
"2",2,4.1164173966483,4.5183211267865,4.20241899562805,0.703783430955094,2.65159344020678,1.7383013047992,20.0527289906625
"3",3,4.08519614454321,3.71765575473315,4.0505898296548,0.647248156949194,2.57775880576087,1.72376907226555,18.5450108703247
"4",4,3.93429533120541,3.53776538551516,4.11010797105122,0.737992616499495,2.61445096875657,1.84885579812981,18.5710288525964
"5",5,3.75529474018531,3.59066607879427,4.09796304419301,0.787720035913067,2.59049257611828,1.84022308638829,18.5581128991625
"6",6,3.60266426961928,3.45561393888489,3.90814945275749,0.777075241657359,2.59888261145355,1.80302451142673,18.2203920198147
"7",7,3.74967691130062,3.4557758447365,3.77995517609154,0.776202323959717,2.52273083507674,1.82144957574639,17.9910278231871
"8",8,3.70294534268269,3.39642386758165,3.90402617354217,0.755404946105649,2.51260032057743,1.81865842848853,17.6801472128183
"9",9,3.79347990727353,3.46758841749077,4.14069591835007,0.772509227582547,2.51323279766068,1.85531495629828,18.2792143979123
"10",10,3.77595516328536,3.56116734093587,4.11972890575278,0.771285013208093,2.66351817544373,1.87354379573875,18.5025924069756
"11",11,3.90676976932782,4.18287940271316,4.15984630126588,0.844493508637846,2.62563702602593,1.89571854169471,19.379682271763
"12",12,4.04565055340183,4.45586511490859,4.17484626278706,0.772174871217082,2.62458137568123,1.92582801714034,19.5316421030065
"13",13,4.22667797682669,4.6055805609409,4.2912053728684,0.728346286496669,2.5979184538917,2.01314698701959,20.1650506001909
"14",14,4.36561211749469,4.85851258628376,4.54251785210909,0.743483331211158,2.73292055591294,2.08001734876393,20.8257284903159
"15",15,4.25956462961627,4.75589566692533,4.66832788773795,0.752826168878919,2.6228368353855,2.05712781071016,21.1530518695274
"16",16,4.32018436054119,4.88371498194543,4.53188700879529,0.74659855590273,2.60579611867474,2.00717518418698,21.4917248522312
"17",17,4.33671672016266,4.87664759570265,4.5298577904722,0.712334378244133,2.60076094583222,1.83648148259519,21.2561993171195
"18",18,4.41105831515269,4.6960617695096,4.38550383449142,0.720032644962162,2.63506125489929,1.83833531503406,20.903037562209
"19",19,4.27632423152679,4.76629580078634,4.46843668099735,0.693083518811987,2.7278158777111,1.86086387634167,20.8231969769311
"20",20,4.27649547475668,4.70690004203273,4.51172896618019,0.709564112643613,2.91018476777281,1.82150102448039,20.8516441296865
"21",21,4.26837434890415,4.41517626259519,4.32653038529568,0.733762812111984,2.85874946375937,1.81403849746513,20.3658343963322
"22",22,4.18517577766038,4.37627185315974,4.32705997675459,0.75181228731134,2.73977741897253,1.82325714745943,20.3664723949443
"23",23,4.34439329924653,4.35430749972677,4.02100691518479,0.746051579887822,2.84878356459503,1.82299782345465,20.198960882577
"24",24,4.13554503863437,4.25228137182776,4.08022561694997,0.782501249814754,2.7899885798715,1.85777647639219,19.7283112607065
"25",25,4.09731778678305,4.22400783449575,4.13884610272952,0.891816903361394,2.85793431562517,1.98012602117892,19.5924415484925
"26",26,4.24600871854908,4.25128082485508,4.20694612384722,0.98595049245045,2.86344279911554,1.86063491425534,19.6535382214877
"27",27,4.20420061908935,3.26377870865968,3.85999163240914,0.522562447222991,2.86746174987072,1.72334386900989,17.5420489112811
"28",28,4.54387919781353,3.30107000338241,3.92876072098603,0.521855080243326,2.80792253880258,1.37482387631061,17.5203474924822
"29",29,4.36461420120523,3.18200679875998,3.95978035060216,0.67131927349695,2.75574027278353,1.40542916947595,17.4370360968645
"30",30,4.37364088142273,3.39647590933493,3.92447382393067,0.692149049043893,2.74999260967523,1.49698930405005,17.8172219678855
"31",31,4.3457768591947,3.45863126918876,3.96382693553526,0.718457825695564,2.75623642945473,1.44276510896441,17.9177498163993
